"group","date","cum_I","Incidence","imported","Rt"
"COL",2020-09-09,0,0,0,1.05
"COL",2020-09-10,0,0,0,1.05
"COL",2020-09-11,0,0,0,1.05
"COL",2020-09-12,0,0,0,1.05
"COL",2020-09-13,0,0,0,1.05
"COL",2020-09-14,0,0,0,1.05
"COL",2020-09-15,0,0,0,1.05
"COL",2020-09-16,0,0,0,1.05
"COL",2020-09-17,0,0,0,1.05
"COL",2020-09-18,0,0,0,1.05
"COL",2020-09-19,0,0,0,1.05
"COL",2020-09-20,0,0,0,1.05
"COL",2020-09-21,0,0,0,1.05
"COL",2020-09-22,0,0,0,1.05
"COL",2020-09-23,0,8.58340253277892e-06,8.58340253277892e-06,1.05
"COL",2020-09-24,2.61308332619433e-08,1.74994859892762e-05,1.74733551560142e-05,1.05
"COL",2020-09-25,4.62197129115226e-07,2.57232151077623e-05,2.5287148811909e-05,1.05
"COL",2020-09-26,2.43893049940657e-06,3.46327254958292e-05,3.26559921255379e-05,1.05
"COL",2020-09-27,7.65818017225232e-06,4.31072887008988e-05,3.78880390280531e-05,1.05
"COL",2020-09-28,1.78979307498255e-05,5.73682699694256e-05,4.71285193918524e-05,1.05
"COL",2020-09-29,3.46612077169829e-05,7.30895925329988e-05,5.63263155658414e-05,1.05
"COL",2020-09-30,5.92618043491603e-05,9.88232288712451e-05,7.42226322390677e-05,1.05
"COL",2020-10-01,9.32000326220906e-05,0.000247055017665573,0.000213116789392643,1.05
"COL",2020-10-02,0.000138984455591546,0.000335811004633978,0.000290026581664522,1.05
"COL",2020-10-03,0.000204867115883284,0.00049313505032575,0.000427252390034012,1.05
"COL",2020-10-04,0.000307715622947632,0.000605361469988138,0.00050251296292379,1.05
"COL",2020-10-05,0.000469856787652395,0.000751572769411379,0.000589431604706616,1.05
"COL",2020-10-06,0.000714312435805291,0.000918547181140763,0.000674091532987867,1.05
"COL",2020-10-07,0.00106075981728825,0.00112537787845265,0.000778930496969696,1.05
"COL",2020-10-08,0.00152580785674661,0.00130701934976566,0.000841971310307302,1.05
"COL",2020-10-09,0.00212591019420637,0.00151216845922269,0.000912066121762922,1.05
"COL",2020-10-10,0.00287820897781208,0.00172328565796726,0.000970986874361544,1.05
"COL",2020-10-11,0.00379877861311526,0.00195808398789167,0.00103751435258849,1.05
"COL",2020-10-12,0.00490183496038294,0.00223147196742946,0.00112841562016179,1.05
"COL",2020-10-13,0.00620054115388332,0.00252372663159857,0.00122502043809819,1.05
"COL",2020-10-14,0.00770929424456365,0.00333640187625823,0.0018276487855779,1.05
"COL",2020-10-15,0.00944715624895057,0.00403804799553239,0.00230018599114547,1.05
"COL",2020-10-16,0.0114565710062355,0.0047994517697938,0.00279003701250884,1.05
"COL",2020-10-17,0.0138191470095422,0.00563378173369266,0.003271205730386,1.05
"COL",2020-10-18,0.0166407331436129,0.00657385302454814,0.00375226689047738,1.05
"COL",2020-10-19,0.0200291316523136,0.00776664274932283,0.00437824424062217,1.05
"COL",2020-10-20,0.0240849309436878,0.00922435424024581,0.00516855494887163,1.05
"COL",2020-10-21,0.0289097188801567,0.011178163601,0.00635337566453108,1.05
"COL",2020-10-22,0.0346252664602636,0.0131913783708373,0.00747583079073038,1.05
"COL",2020-10-23,0.0413960876438389,0.0155393890017071,0.00876856781813174,1.05
"COL",2020-10-24,0.049435127490993,0.0178999346605991,0.00986089481344495,1.05
"COL",2020-10-25,0.0589866465268949,0.0205840706871121,0.0110325516512103,1.05
"COL",2020-10-26,0.0703019827624633,0.0236321756525631,0.0123168394169947,1.05
"COL",2020-10-27,0.0836228910502057,0.0270113502607543,0.0136904419730119,1.05
"COL",2020-10-28,0.0991884900582903,0.0325844226377783,0.0170188236296938,1.05
"COL",2020-10-29,0.117258429151739,0.0381113964351374,0.0200414573416882,1.05
"COL",2020-10-30,0.138193405969469,0.0437366477880998,0.0228016709703707,1.05
"COL",2020-10-31,0.16252184154668,0.0500734462697193,0.0257450106925082,1.05
"COL",2020-11-01,0.190873403178437,0.0635990066959065,0.0352474450641496,1.05
"COL",2020-11-02,0.223900141359524,0.071258990420653,0.0382322522395652,1.05
"COL",2020-11-03,0.262477365377247,0.0806605558028177,0.042083331785095,1.05
"COL",2020-11-04,0.307761839308389,0.0934354482160982,0.0481509742849562,1.05
"COL",2020-11-05,0.360850795966651,0.106561158356631,0.0534722016983687,1.05
