"group","date","cum_I","Incidence","imported","Rt"
"CRI",2020-09-09,0,0,0,1.05
"CRI",2020-09-10,0,0,0,1.05
"CRI",2020-09-11,0,0,0,1.05
"CRI",2020-09-12,0,0,0,1.05
"CRI",2020-09-13,0,0,0,1.05
"CRI",2020-09-14,0,0,0,1.05
"CRI",2020-09-15,0,0,0,1.05
"CRI",2020-09-16,0,0,0,1.05
"CRI",2020-09-17,0,0,0,1.05
"CRI",2020-09-18,0,0,0,1.05
"CRI",2020-09-19,0,0,0,1.05
"CRI",2020-09-20,0,0,0,1.05
"CRI",2020-09-21,0,0,0,1.05
"CRI",2020-09-22,0,0,0,1.05
"CRI",2020-09-23,0,3.65224619812655e-06,3.65224619812655e-06,1.05
"CRI",2020-09-24,1.11186951876429e-08,7.44604845565954e-06,7.4349297604719e-06,1.05
"CRI",2020-09-25,1.96665331859902e-07,1.09452532631602e-05,1.07597066264879e-05,1.05
"CRI",2020-09-26,1.03776732011992e-06,1.47362586736278e-05,1.38951566853678e-05,1.05
"CRI",2020-09-27,3.25856317606735e-06,1.83421936310413e-05,1.61213977750938e-05,1.05
"CRI",2020-09-28,7.61558709215275e-06,2.44102551510069e-05,2.00532312349215e-05,1.05
"CRI",2020-09-29,1.47483778866701e-05,3.10996933246284e-05,2.3966902530111e-05,1.05
"CRI",2020-09-30,2.52159558871657e-05,4.20493808315829e-05,3.15818028310873e-05,1.05
"CRI",2020-10-01,3.96567053111393e-05,7.73160327187696e-05,6.2875283294796e-05,1.05
"CRI",2020-10-02,5.9053370795632e-05,0.000104962441588511,8.55657761040183e-05,1.05
"CRI",2020-10-03,8.573098669615e-05,0.000152728759681002,0.000126051143780484,1.05
"CRI",2020-10-04,0.000124006145832782,0.000186530230889469,0.000148255071752837,1.05
"CRI",2020-10-05,0.000179828637806116,0.000229720940962047,0.000173898448988712,1.05
"CRI",2020-10-06,0.000259763783021082,0.000278810589162972,0.000198875443948005,1.05
"CRI",2020-10-07,0.000369700191557594,0.000339742215031157,0.000229805806494645,1.05
"CRI",2020-10-08,0.000514679541362066,0.00039338392089684,0.000248404571092369,1.05
"CRI",2020-10-09,0.000699620868772111,0.000454025785527399,0.000269084458117354,1.05
"CRI",2020-10-10,0.000929573300513092,0.000516420123821922,0.000286467692080941,1.05
"CRI",2020-10-11,0.00120925013865147,0.000585771956347162,0.000306095118208785,1.05
"CRI",2020-10-12,0.00154282932146639,0.000666492661823983,0.000332913479009057,1.05
"CRI",2020-10-13,0.00193419465328266,0.000752779875019763,0.000361414543203501,1.05
"CRI",2020-10-14,0.0023876000206082,0.000992611759670745,0.000539206392345206,1.05
"CRI",2020-10-15,0.00290867379591922,0.00119969157091575,0.000678617795604728,1.05
"CRI",2020-10-16,0.00350993880699167,0.0014244022592658,0.000823137248193339,1.05
"CRI",2020-10-17,0.00421547406891738,0.00167063044564979,0.000965095183724085,1.05
"CRI",2020-10-18,0.00505650611746398,0.00194805343531207,0.00110702138676547,1.05
"CRI",2020-10-19,0.00606483938829723,0.00230003510130588,0.00129170183047263,1.05
"CRI",2020-10-20,0.00727015112622397,0.00273017684856003,0.00152486511063329,1.05
"CRI",2020-10-21,0.00870241372290614,0.00330668223262026,0.0018744196359381,1.05
"CRI",2020-10-22,0.0103975539061772,0.00390071478943283,0.00220557460616173,1.05
"CRI",2020-10-23,0.0124041084669278,0.0045935219565427,0.00258696739579212,1.05
"CRI",2020-10-24,0.0147849026085789,0.00529002788481361,0.00290923374316251,1.05
"CRI",2020-10-25,0.0176120005141925,0.00608200246996632,0.00325490456435274,1.05
"CRI",2020-10-26,0.0209595545005561,0.00698135857701583,0.00363380459065222,1.05
"CRI",2020-10-27,0.024898889626417,0.00797839004939479,0.00403905492353389,1.05
"CRI",2020-10-28,0.0295005532000617,0.00962268214337219,0.00502101856972748,1.05
"CRI",2020-10-29,0.0348411496345372,0.0112533746420976,0.00591277820762212,1.05
"CRI",2020-10-30,0.0410270953460359,0.0129130624531807,0.00672711674168207,1.05
"CRI",2020-10-31,0.0482142897495696,0.014782676886787,0.00759548248325331,1.05
"CRI",2020-11-01,0.0565885026882174,0.0210537623365523,0.0126795493979045,1.05
"CRI",2020-11-02,0.0663490505676663,0.0235138207757524,0.0137532728963034,1.05
"CRI",2020-11-03,0.0778495473719752,0.0266391170142668,0.0151386202099579,1.05
"CRI",2020-11-04,0.0916359979987352,0.0311077814605886,0.0173213308338285,1.05
"CRI",2020-11-05,0.108217251210044,0.0358167870667482,0.0192355338554391,1.05
"CRI",2020-11-06,0.127973754553495,0.0411043449553066,0.0213478416118557,1.05
"CRI",2020-11-07,0.151242550280275,0.0461931467168634,0.0229243509900833,1.05
"CRI",2020-11-08,0.178392940553125,0.0518206734273151,0.0246702831544657,1.05
"CRI",2020-11-09,0.209822700275202,0.0577155353143285,0.0262857755922512,1.05
"CRI",2020-11-10,0.245917981539588,0.0642149696208393,0.0281196883564537,1.05
"CRI",2020-11-11,0.287041445820351,0.0732383193209867,0.0321148550402232,1.05
"CRI",2020-11-12,0.333556037926808,0.0808737413511634,0.0343591492447064,1.05
"CRI",2020-11-13,0.385926035755896,0.0888218598701939,0.0364518620411059,1.05
"CRI",2020-11-14,0.444749506620804,0.0972717055056994,0.0384482346407913,1.05
"CRI",2020-11-15,0.51062772051637,0.105730910839642,0.0398526969440768,1.05
"CRI",2020-11-16,0.584068334786841,0.114805401806812,0.0413647875363405,1.05
"CRI",2020-11-17,0.665476383932853,0.12415130351912,0.0427432543731078,1.05
"CRI",2020-11-18,0.755193121886179,0.134693198538983,0.0449764605856569,1.05
"CRI",2020-11-19,0.853543474878218,0.144226444380887,0.0458760913888484,1.05
"CRI",2020-11-20,0.960889710997154,0.154148913718267,0.0468026775993304,1.05
