"group","date","cum_I","Incidence","imported","Rt"
"DNK",2020-09-09,0,0,0,2.63
"DNK",2020-09-10,0,0,0,2.63
"DNK",2020-09-11,0,0,0,2.63
"DNK",2020-09-12,0,0,0,2.63
"DNK",2020-09-13,0,0,0,2.63
"DNK",2020-09-14,0,0,0,2.63
"DNK",2020-09-15,0,0,0,2.63
"DNK",2020-09-16,0,0,0,2.63
"DNK",2020-09-17,0,0,0,2.63
"DNK",2020-09-18,0,0,0,2.63
"DNK",2020-09-19,0,0,0,2.63
"DNK",2020-09-20,0,0,0,2.63
"DNK",2020-09-21,0,0,0,2.63
"DNK",2020-09-22,0,0,0,2.63
"DNK",2020-09-23,0,0.000529980779768155,0.000529980779768155,2.63
"DNK",2020-09-24,4.04129308769464e-06,0.00108293073761572,0.00107888944452803,2.63
"DNK",2020-09-25,7.15001243982127e-05,0.00162880968189331,0.00156135085058279,2.63
"DNK",2020-09-26,0.000377794310017338,0.00232263305644592,0.00201633887082679,2.63
"DNK",2020-09-27,0.00119170798162872,0.00315330441919558,0.00233939074758421,2.63
"DNK",2020-09-28,0.00281409715297856,0.00453233186146926,0.00290994269011942,2.63
"DNK",2020-09-29,0.00555043337590092,0.00621419532728701,0.00347785910436465,2.63
"DNK",2020-09-30,0.00975178779542372,0.00878421865783444,0.00458286423831164,2.63
"DNK",2020-10-01,0.0158897905857767,0.0115511820843364,0.00541317929398341,2.63
"DNK",2020-10-02,0.0246317690653308,0.0161086711321856,0.00736669265263141,2.63
"DNK",2020-10-03,0.0368751419775273,0.0230956093672792,0.0108522364550828,2.63
"DNK",2020-10-04,0.0538228982463398,0.0297116158108483,0.0127638595420357,2.63
"DNK",2020-10-05,0.0772372272623121,0.038385927297414,0.0149715982814417,2.63
"DNK",2020-10-06,0.109483069171901,0.0493678074713762,0.017121965561787,2.63
"DNK",2020-10-07,0.153306733950766,0.0636085463438744,0.0197848815650097,2.63
"DNK",2020-10-08,0.211823431885426,0.0799028199575777,0.0213861220229179,2.63
"DNK",2020-10-09,0.288771521182677,0.100114623755382,0.0231665344581304,2.63
"DNK",2020-10-10,0.388714293267968,0.124605897210265,0.0246631251249744,2.63
"DNK",2020-10-11,0.517099177345641,0.154737811158868,0.0263529270811944,2.63
"DNK",2020-10-12,0.680398271820862,0.191960919230911,0.02866182475569,2.63
"DNK",2020-10-13,0.886388281337404,0.237105602469673,0.0311155929531309,2.63
"DNK",2020-10-14,1.14456830897617,0.304602416935077,0.0464223892963063,2.63
"DNK",2020-10-15,1.46670258607894,0.380559139897778,0.0584248627950153,2.63
"DNK",2020-10-16,1.86841369745103,0.472578219630438,0.070867108258349,2.63
"DNK",2020-10-17,2.37071604408528,0.585391169324149,0.0830888226898967,2.63
"DNK",2020-10-18,2.99981348438774,0.724405245449662,0.0953078051472035,2.63
"DNK",2020-10-19,3.78680245120229,0.898196634379744,0.111207667565192,2.63
"DNK",2020-10-20,4.76856227741468,1.11304143339492,0.131281607182532,2.63
"DNK",2020-10-21,5.98990255661568,1.38271640396409,0.161376124763096,2.63
"DNK",2020-10-22,7.50642689223398,1.70641088823124,0.189886552612932,2.63
"DNK",2020-10-23,9.38778420843547,2.10407946721677,0.22272215101528,2.63
"DNK",2020-10-24,11.7203743399591,2.58305745404856,0.250467322524948,2.63
"DNK",2020-10-25,14.6094562320906,3.16930936894524,0.280227476813686,2.63
"DNK",2020-10-26,18.1817844114192,3.8851766427903,0.31284846346177,2.63
"DNK",2020-10-27,22.5896180750503,4.75557171479541,0.347738051164296,2.63
"DNK",2020-10-28,28.0169852989986,5.85964636977612,0.432279145827794,2.63
"DNK",2020-10-29,34.6877900522859,7.17985897755776,0.509054224270438,2.63
"DNK",2020-10-30,42.8787539998042,8.77012776430059,0.579163816782301,2.63
"DNK",2020-10-31,52.9332901330328,10.7084609563325,0.653924823103955,2.63
"DNK",2020-11-01,65.2695617820312,12.627994887392,0.291723238393532,2.63
"DNK",2020-11-02,80.3867028694557,15.4335678926612,0.316426805236682,2.63
"DNK",2020-11-03,98.8432102376349,18.8048073884613,0.348300020282153,2.63
"DNK",2020-11-04,121.269361855203,22.8246700952808,0.398518477712251,2.63
"DNK",2020-11-05,148.454032585503,27.6272300084282,0.44255927812896,2.63
"DNK",2020-11-06,181.406335041039,33.4434604054197,0.49115794988361,2.63
"DNK",2020-11-07,221.36997492767,40.4910691902312,0.527429303599881,2.63
"DNK",2020-11-08,269.836684487417,49.0343081918478,0.567598632100879,2.63
"DNK",2020-11-09,328.590913366874,59.3589957634226,0.604766883965487,2.63
"DNK",2020-11-10,399.782690018689,71.8387370675623,0.64696041574768,2.63
"DNK",2020-11-11,486.014696021856,86.9708847455313,0.73887874236454,2.63
"DNK",2020-11-12,590.438386662615,105.214204717527,0.790514076767502,2.63
"DNK",2020-11-13,716.86900781623,127.269283073404,0.83866191978897,2.63
"DNK",2020-11-14,869.921588116939,153.937173527798,0.884593227088943,2.63
"DNK",2020-11-15,1055.1694860838,186.164804194862,0.916906228005506,2.63
"DNK",2020-11-16,1279.34148222693,225.123691617233,0.951695474095943,2.63
"DNK",2020-11-17,1550.56570967215,272.207637832599,0.983410387380346,2.63
"DNK",2020-11-18,1878.66379279282,329.132873736783,1.03479061611569,2.63
"DNK",2020-11-19,2275.50641343293,397.898109405902,1.05548876579197,2.63
"DNK",2020-11-20,2755.44201732988,481.012410985773,1.07680708882459,2.63
"DNK",2020-11-21,3335.81167054238,581.458860066761,1.08920685425961,2.63
"DNK",2020-11-22,4037.56852212528,702.856532482977,1.0996809000793,2.63
