"group","date","cum_I","Incidence","imported","Rt"
"FRA",2020-09-09,0,0,0,1.05
"FRA",2020-09-10,0,0,0,1.05
"FRA",2020-09-11,0,0,0,1.05
"FRA",2020-09-12,0,0,0,1.05
"FRA",2020-09-13,0,0,0,1.05
"FRA",2020-09-14,0,0,0,1.05
"FRA",2020-09-15,0,0,0,1.05
"FRA",2020-09-16,0,0,0,1.05
"FRA",2020-09-17,0,0,0,1.05
"FRA",2020-09-18,0,0,0,1.05
"FRA",2020-09-19,0,0,0,1.05
"FRA",2020-09-20,0,0,0,1.05
"FRA",2020-09-21,0,0,0,1.05
"FRA",2020-09-22,0,0,0,1.05
"FRA",2020-09-23,0,0.0021258113573901,0.0021258113573901,1.05
"FRA",2020-09-24,6.47170185881072e-06,0.00433401625083151,0.0043275445489727,1.05
"FRA",2020-09-25,0.000114470211862258,0.00637074896765511,0.00626275045765167,1.05
"FRA",2020-09-26,0.000604038565792979,0.00857732593983004,0.00808775758589931,1.05
"FRA",2020-09-27,0.00189666584142396,0.0106761815674741,0.0093835542918431,1.05
"FRA",2020-09-28,0.00443269721028014,0.0142081324264007,0.0116721010575446,1.05
"FRA",2020-09-29,0.00858437999898441,0.0181017592173159,0.0139500764286116,1.05
"FRA",2020-09-30,0.0146770952735556,0.0244750891626237,0.0183823738880525,1.05
"FRA",2020-10-01,0.0230824183184409,0.0221269926530559,0.0137216696081706,1.05
"FRA",2020-10-02,0.0343027212590034,0.0298938618963314,0.0186735589557689,1.05
"FRA",2020-10-03,0.0487154382272774,0.0419216530406299,0.027508936072356,1.05
"FRA",2020-10-04,0.0664797447941092,0.0501189458738238,0.032354639306992,1.05
"FRA",2020-10-05,0.0881380338681527,0.0596092443199807,0.0379509552459372,1.05
"FRA",2020-10-06,0.114854062563009,0.0701178710728559,0.0434018423779993,1.05
"FRA",2020-10-07,0.148011753842462,0.0833096617441281,0.0501519704646756,1.05
"FRA",2020-10-08,0.188879380867311,0.0950785231842769,0.0542108961594282,1.05
"FRA",2020-10-09,0.238607295859595,0.108451913318755,0.0587239983264705,1.05
"FRA",2020-10-10,0.298287582259942,0.122197937505311,0.0625176511049642,1.05
"FRA",2020-10-11,0.368914341888655,0.137427827721595,0.0668010680928816,1.05
"FRA",2020-10-12,0.451380215183346,0.155119681400029,0.0726538081053389,1.05
"FRA",2020-10-13,0.54653316845802,0.174026728366465,0.0788737750917906,1.05
"FRA",2020-10-14,0.655309103358045,0.226450346507597,0.117674411607572,1.05
"FRA",2020-10-15,0.778941740875359,0.271731678882331,0.148099041365017,1.05
"FRA",2020-10-16,0.920164887624928,0.320861579691987,0.179638432942418,1.05
"FRA",2020-10-17,1.08423616054762,0.374690081420282,0.210618808497594,1.05
"FRA",2020-10-18,1.27796821030345,0.435324308627326,0.24159225887149,1.05
"FRA",2020-10-19,1.50830171122084,0.512229737740895,0.281896236823504,1.05
"FRA",2020-10-20,1.78171439832792,0.606193617047928,0.332780929940849,1.05
"FRA",2020-10-21,2.104748751188,0.732100771389262,0.409066418529184,1.05
"FRA",2020-10-22,2.48524641557458,0.861834120558498,0.481336456171915,1.05
"FRA",2020-10-23,2.93380067877571,1.01312447317912,0.564570209977998,1.05
"FRA",2020-10-24,3.46412297520488,1.16522272382687,0.634900427397701,1.05
"FRA",2020-10-25,4.09194109211826,1.33815646765719,0.710338350743806,1.05
"FRA",2020-10-26,4.83343862042413,1.53452562139297,0.793028093087104,1.05
"FRA",2020-10-27,5.70418218323263,1.75221199182747,0.881468429018977,1.05
"FRA",2020-10-28,6.71956866556706,2.11115503079984,1.09576854846541,1.05
"FRA",2020-10-29,7.896316817806,2.46713103053123,1.29038287829229,1.05
"FRA",2020-10-30,9.2576514492744,2.82943574382704,1.46810111235864,1.05
"FRA",2020-10-31,10.8375963661202,3.23755496149868,1.65761004465288,1.05
"FRA",2020-11-01,12.6766942000657,2.54668798442317,0.707590150477692,1.05
