"group","date","cum_I","Incidence","imported","Rt"
"HKG",2020-09-09,0,0,0,2.63
"HKG",2020-09-10,0,0,0,2.63
"HKG",2020-09-11,0,0,0,2.63
"HKG",2020-09-12,0,0,0,2.63
"HKG",2020-09-13,0,0,0,2.63
"HKG",2020-09-14,0,0,0,2.63
"HKG",2020-09-15,0,0,0,2.63
"HKG",2020-09-16,0,0,0,2.63
"HKG",2020-09-17,0,0,0,2.63
"HKG",2020-09-18,0,0,0,2.63
"HKG",2020-09-19,0,0,0,2.63
"HKG",2020-09-20,0,0,0,2.63
"HKG",2020-09-21,0,0,0,2.63
"HKG",2020-09-22,0,0,0,2.63
"HKG",2020-09-23,0,2.62504145433305e-05,2.62504145433305e-05,2.63
"HKG",2020-09-24,2.0016880402623e-07,5.36385126958061e-05,5.34383438917799e-05,2.63
"HKG",2020-09-25,3.54146410021483e-06,8.06763773218232e-05,7.73350820256346e-05,2.63
"HKG",2020-09-26,1.87124847327577e-05,0.000115042059809075,9.98710391765318e-05,2.63
"HKG",2020-09-27,5.90263453441358e-05,0.000156185943613674,0.000115872083002296,2.63
"HKG",2020-09-28,0.000139384709127016,0.000224490386733571,0.000144132022950692,2.63
"HKG",2020-09-29,0.000274917850938434,0.000307794564674349,0.000172261422862931,2.63
"HKG",2020-09-30,0.000483014633625861,0.000435090082527683,0.000226993299840255,2.63
"HKG",2020-10-01,0.000787035314876548,0.000593696470582151,0.000289675789331464,2.63
"HKG",2020-10-02,0.00122019757834097,0.00082737653072232,0.000394214267257899,2.63
"HKG",2020-10-03,0.0018292554879326,0.0011897942921149,0.00058073638252327,2.63
"HKG",2020-10-04,0.00267937036311783,0.0015331480590047,0.000683033183819474,2.63
"HKG",2020-10-05,0.00386493135264292,0.00198673702937114,0.00080117603984604,2.63
"HKG",2020-10-06,0.00551025760667702,0.0025615750275653,0.000916248773531203,2.63
"HKG",2020-10-07,0.00775855039360605,0.00330704234479861,0.00105874955786958,2.63
"HKG",2020-10-08,0.0107724377329316,0.00415832417418401,0.00114443683485847,2.63
"HKG",2020-10-09,0.014747801975554,0.00521507639527408,0.00123971215265165,2.63
"HKG",2020-10-10,0.0199240194927367,0.006496016816256,0.00131979929907334,2.63
"HKG",2020-10-11,0.026586555619856,0.00807276189997043,0.00141022577285113,2.63
"HKG",2020-10-12,0.0350742238313311,0.0100214501645342,0.00153378195305903,2.63
"HKG",2020-10-13,0.0457940516886416,0.0123849184555903,0.00166509059827982,2.63
"HKG",2020-10-14,0.0592434206699783,0.0159335730935128,0.00248420411217609,2.63
"HKG",2020-10-15,0.0760387058895785,0.019921778418438,0.00312649319883777,2.63
"HKG",2020-10-16,0.0970000076195837,0.0247536175591137,0.00379231582910848,2.63
"HKG",2020-10-17,0.123232595047081,0.0306789245965005,0.00444633716900338,2.63
"HKG",2020-10-18,0.156115428884395,0.03798304614991,0.0051002123125963,2.63
"HKG",2020-10-19,0.197284428458308,0.047120062180959,0.00595106260704557,2.63
"HKG",2020-10-20,0.24867910883532,0.0584199609228776,0.00702528054586542,2.63
"HKG",2020-10-21,0.312656267802323,0.0726128892432864,0.00863573027628337,2.63
"HKG",2020-10-22,0.392141752896702,0.0896468956119866,0.0101614105176081,2.63
"HKG",2020-10-23,0.490802660603961,0.110579451578264,0.0119185438710042,2.63
"HKG",2020-10-24,0.613189960736691,0.135790573036473,0.0134032729037434,2.63
"HKG",2020-10-25,0.764848702776634,0.166654571871147,0.0149958298312034,2.63
"HKG",2020-10-26,0.95245594714859,0.204348723024834,0.0167414786528779,2.63
"HKG",2020-10-27,1.18403149121632,0.250184071327035,0.0186085272593063,2.63
"HKG",2020-10-28,1.46926847824765,0.308369566977164,0.0231325799458327,2.63
"HKG",2020-10-29,1.8199616597008,0.377934230792117,0.027241049338963,2.63
