"group","date","cum_I","Incidence","imported","Rt"
"IDN",2020-09-09,0,0,0,1.05
"IDN",2020-09-10,0,0,0,1.05
"IDN",2020-09-11,0,0,0,1.05
"IDN",2020-09-12,0,0,0,1.05
"IDN",2020-09-13,0,0,0,1.05
"IDN",2020-09-14,0,0,0,1.05
"IDN",2020-09-15,0,0,0,1.05
"IDN",2020-09-16,0,0,0,1.05
"IDN",2020-09-17,0,0,0,1.05
"IDN",2020-09-18,0,0,0,1.05
"IDN",2020-09-19,0,0,0,1.05
"IDN",2020-09-20,0,0,0,1.05
"IDN",2020-09-21,0,0,0,1.05
"IDN",2020-09-22,0,0,0,1.05
"IDN",2020-09-23,0,5.00404274272752e-05,5.00404274272752e-05,1.05
"IDN",2020-09-24,1.52340294011023e-07,0.000102020353270964,0.000101868012976953,1.05
"IDN",2020-09-25,2.69456568164669e-06,0.000149963918606929,0.000147421693219293,1.05
"IDN",2020-09-26,1.42187348419986e-05,0.000201905524081452,0.0001903813549211,1.05
"IDN",2020-09-27,4.4646468305678e-05,0.000251311428490766,0.000220883695027086,1.05
"IDN",2020-09-28,0.000104343248655155,0.000334451604602069,0.000274754824252592,1.05
"IDN",2020-09-29,0.000202071572745156,0.000426105432766244,0.000328377108676244,1.05
"IDN",2020-09-30,0.000345490731492403,0.000576130106164266,0.000432710947417018,1.05
"IDN",2020-10-01,0.00054334740224929,0.000735937613852398,0.000538080943095511,1.05
"IDN",2020-10-02,0.000808121926719556,0.000997038636695113,0.000732264112224847,1.05
"IDN",2020-10-03,0.00115787429454095,0.00142848656621322,0.00107873419839183,1.05
"IDN",2020-10-04,0.00161847809367363,0.0017293571891323,0.00126875338999963,1.05
"IDN",2020-10-05,0.00223016245872049,0.00209989143993152,0.00148820707488466,1.05
"IDN",2020-10-06,0.0030453094315325,0.00251710489380222,0.0017019579209902,1.05
"IDN",2020-10-07,0.00411571015338867,0.00303705786609043,0.00196665714423426,1.05
"IDN",2020-10-08,0.00548688582616312,0.00349699934908194,0.00212582367630748,1.05
"IDN",2020-10-09,0.00720201941030778,0.00401793384855499,0.00230280026441032,1.05
"IDN",2020-10-10,0.00930418205494623,0.0045537270407557,0.00245156439611725,1.05
"IDN",2020-10-11,0.0118332218714126,0.00514857393626484,0.00261953411979851,1.05
"IDN",2020-10-12,0.0148246227269515,0.00584044406246197,0.00284904320692305,1.05
"IDN",2020-10-13,0.0183116272257826,0.00657995721514068,0.00309295271630958,1.05
"IDN",2020-10-14,0.0223307464644274,0.00863359839344892,0.00461447915480407,1.05
"IDN",2020-10-15,0.0269302239635778,0.0104070267351251,0.00580754923597475,1.05
"IDN",2020-10-16,0.0322172412543122,0.0123313508284185,0.00704433353768403,1.05
"IDN",2020-10-17,0.0383979025460256,0.0144398579016183,0.00825919660990493,1.05
"IDN",2020-10-18,0.0457394118111323,0.0168152973834811,0.00947378811837442,1.05
"IDN",2020-10-19,0.0545139455669311,0.0198288002770351,0.0110542665212363,1.05
"IDN",2020-10-20,0.064975494275957,0.0235112053280826,0.0130496566190567,1.05
"IDN",2020-10-21,0.0773805789451199,0.0284461970524417,0.0160411123832788,1.05
"IDN",2020-10-22,0.0920366732025413,0.033531200689733,0.0188751064323115,1.05
"IDN",2020-10-23,0.10935916175195,0.0394615197098512,0.0221390311604429,1.05
"IDN",2020-10-24,0.129885706769351,0.0454235022027339,0.0248969571853322,1.05
"IDN",2020-10-25,0.154233037794905,0.0522025075893109,0.0278551765637574,1.05
"IDN",2020-10-26,0.183035755799,0.0599004864546234,0.0310977684505284,1.05
"IDN",2020-10-27,0.216904266937034,0.0684343749971247,0.0345658638590908,1.05
"IDN",2020-10-28,0.256442321380429,0.0825074736765754,0.0429694192331798,1.05
"IDN",2020-10-29,0.302305505241551,0.0964642007878356,0.0506010169267138,1.05
"IDN",2020-10-30,0.35540453300264,0.110669079631972,0.0575700518708833,1.05
"IDN",2020-10-31,0.417073590279449,0.126670504008941,0.0650014467321318,1.05
"IDN",2020-11-01,0.488902491281627,0.132234304977107,0.0604054039749289,1.05
"IDN",2020-11-02,0.572450532351834,0.149068666386431,0.0655206253162235,1.05
"IDN",2020-11-03,0.668732196189499,0.168402087104178,0.072120423266513,1.05
"IDN",2020-11-04,0.778101797576159,0.191888463340361,0.0825188619537003,1.05
"IDN",2020-11-05,0.901008948151727,0.214545280350373,0.0916381297748047,1.05
"IDN",2020-11-06,1.03864451011114,0.239336730990713,0.101701169031295,1.05
"IDN",2020-11-07,1.19292825059885,0.263495404006905,0.109211663519202,1.05
"IDN",2020-11-08,1.36606676142106,0.290667799392016,0.117529288569802,1.05
"IDN",2020-11-09,1.56014258555486,0.319301322581452,0.125225498447655,1.05
"IDN",2020-11-10,1.77695842396646,0.350778101700026,0.133962263288426,1.05
"IDN",2020-11-11,2.01815021017424,0.394187033233008,0.152995247025227,1.05
"IDN",2020-11-12,2.28540127105031,0.430938130915359,0.163687070039284,1.05
"IDN",2020-11-13,2.58092832266718,0.469183810475759,0.173656758858897,1.05
"IDN",2020-11-14,2.90760324930232,0.509842409383678,0.183167482748534,1.05
"IDN",2020-11-15,3.26830609361639,0.550561188869691,0.189858344555621,1.05
"IDN",2020-11-16,3.66545949800441,0.594215352179537,0.197061947791512,1.05
"IDN",2020-11-17,4.10100047680544,0.639169945934306,0.203628967133282,1.05
"IDN",2020-11-18,4.57655091948388,0.689818409605414,0.214267966926969,1.05
"IDN",2020-11-19,5.09366020532267,0.735663096086345,0.218553810247557,1.05
"IDN",2020-11-20,5.65405894417166,0.783366808042615,0.222968069193621,1.05
"IDN",2020-11-21,6.25961415475942,0.831090825803501,0.22553561521574,1.05
"IDN",2020-11-22,6.91195571130509,0.880045970423017,0.227704413877356,1.05
"IDN",2020-11-23,7.61230311335096,0.926432401941322,0.22608499989545,1.05
"IDN",2020-11-24,8.36153320354244,0.979832915007924,0.230602824816437,1.05
"IDN",2020-11-25,9.16024944645982,1.0477228619256,0.249006619008219,1.05
"IDN",2020-11-26,10.0090463554623,1.1008981854902,0.252101276487753,1.05
"IDN",2020-11-27,10.9093795735456,1.16154790745901,0.26121468937564,1.05
"IDN",2020-11-28,11.8636730201168,1.21855398299302,0.264260536421816,1.05
"IDN",2020-11-29,12.8743960993453,1.27958771227147,0.26886463304304,1.05
"IDN",2020-11-30,13.9434940655862,1.34684180196102,0.277743835720085,1.05
"IDN",2020-12-01,15.0723573013953,1.48259219285202,0.353728957042897,1.05
"IDN",2020-12-02,16.2625392047146,1.57513471904374,0.384952815724489,1.05
"IDN",2020-12-03,17.5186999911719,1.66996824549716,0.413807459039871,1.05
"IDN",2020-12-04,18.8498451312516,1.77402736599202,0.44288222591226,1.05
"IDN",2020-12-05,20.2658252258802,1.89378800415323,0.477807909524636,1.05
"IDN",2020-12-06,21.7745413176495,2.01446843303826,0.50575234126898,1.05
"IDN",2020-12-07,23.3822772168214,2.13719011013797,0.529454210966075,1.05
"IDN",2020-12-08,25.0950318601114,2.2833231063192,0.570568463029159,1.05
"IDN",2020-12-09,26.9188848436369,2.46182951949457,0.637976535969156,1.05
"IDN",2020-12-10,28.8604792466826,2.6314208561112,0.689826453065439,1.05
"IDN",2020-12-11,30.9287231844113,2.81494962704152,0.746705689312811,1.05
"IDN",2020-12-12,33.1352768098877,2.99554409174306,0.788990466266695,1.05
"IDN",2020-12-13,35.4928676534549,3.20386811269557,0.846277269128332,1.05
"IDN",2020-12-14,38.0134874883623,3.4165813746339,0.895961539726564,1.05
"IDN",2020-12-15,40.7080742995071,3.66510155384278,0.970514742697973,1.05
"IDN",2020-12-16,43.5875003967559,3.99267323061357,1.11324713336473,1.05
"IDN",2020-12-17,46.6641021380768,4.28522757211607,1.20862583079512,1.05
"IDN",2020-12-18,49.9552188636658,4.5832686112519,1.29215188566293,1.05
"IDN",2020-12-19,53.4838061461282,4.95096068994822,1.42237340748586,1.05
"IDN",2020-12-20,57.2736368236095,5.32375539557837,1.53392471809704,1.05
"IDN",2020-12-21,61.3472725475555,5.74479326058382,1.6711575366378,1.05
"IDN",2020-12-22,65.7278645545357,6.20820646534326,1.82761445836313,1.05
"IDN",2020-12-23,70.4406629879138,6.70516387633352,1.99236544295537,1.05
"IDN",2020-12-24,75.5142962998875,7.1626013920494,2.08896808007572,1.05
"IDN",2020-12-25,80.9808932981508,7.66017616900529,2.19357917074196,1.05
"IDN",2020-12-26,86.8723152233298,8.17715958276228,2.28573765758325,1.05
"IDN",2020-12-27,93.2157020009004,8.78372720053694,2.44034042296634,1.05
"IDN",2020-12-28,100.033746718548,9.47098057958168,2.65293586193364,1.05
"IDN",2020-12-29,107.349845057384,10.1715510313177,2.85545269248188,1.05
"IDN",2020-12-30,115.195323776108,10.9415340072664,3.09605528854307,1.05
"IDN",2020-12-31,123.611457933207,11.6630290175586,3.2468948604597,1.05
"IDN",2021-01-01,132.645925988384,11.8819470316578,2.84747897647993,1.05
"IDN",2021-01-02,142.344364493178,12.7126320421157,3.01419353732247,1.05
"IDN",2021-01-03,152.724549928616,13.5437863069969,3.16360087155806,1.05
"IDN",2021-01-04,163.774177285801,14.384319307585,3.33469195040028,1.05
"IDN",2021-01-05,175.489152678846,15.21345755593,3.49848216288494,1.05
"IDN",2021-01-06,187.89392810348,16.0268944729683,3.62211904833461,1.05
"IDN",2021-01-07,201.032263843437,16.9496877873294,3.81135204737219,1.05
"IDN",2021-01-08,214.949317927396,17.9025727018279,3.98551861786865,1.05
"IDN",2021-01-09,229.684316229091,18.858740901639,4.12374259994442,1.05
"IDN",2021-01-10,245.274260444623,19.8155599777965,4.22561576226422,1.05
