"group","date","cum_I","Incidence","imported","Rt"
"ISL",2020-09-09,0,0,0,1.05
"ISL",2020-09-10,0,0,0,1.05
"ISL",2020-09-11,0,0,0,1.05
"ISL",2020-09-12,0,0,0,1.05
"ISL",2020-09-13,0,0,0,1.05
"ISL",2020-09-14,0,0,0,1.05
"ISL",2020-09-15,0,0,0,1.05
"ISL",2020-09-16,0,0,0,1.05
"ISL",2020-09-17,0,0,0,1.05
"ISL",2020-09-18,0,0,0,1.05
"ISL",2020-09-19,0,0,0,1.05
"ISL",2020-09-20,0,0,0,1.05
"ISL",2020-09-21,0,0,0,1.05
"ISL",2020-09-22,0,0,0,1.05
"ISL",2020-09-23,0,6.7226191551611e-05,6.7226191551611e-05,1.05
"ISL",2020-09-24,2.0465967843895e-07,0.000137057978194218,0.000136853318515779,1.05
"ISL",2020-09-25,3.61998084301019e-06,0.000201467166377651,0.000198051845213079,1.05
"ISL",2020-09-26,1.91019829616554e-05,0.000271247471995608,0.000255765469876962,1.05
"ISL",2020-09-27,5.99797440735783e-05,0.000337621221469034,0.000296743460357111,1.05
"ISL",2020-09-28,0.000140178643186118,0.000449314859838052,0.000369115960725512,1.05
"ISL",2020-09-29,0.00027147054801328,0.000572446058458566,0.000441154153631405,1.05
"ISL",2020-09-30,0.000464145237935255,0.000773994845106739,0.000581320155184764,1.05
"ISL",2020-10-01,0.000729953328151857,0.00162163261924695,0.00135582452903035,1.05
"ISL",2020-10-02,0.00108758828561951,0.0022027507487304,0.00184511579126275,1.05
"ISL",2020-10-03,0.00158831427172606,0.00321885660427996,0.00271813061817341,1.05
"ISL",2020-10-04,0.00233200603604498,0.00394062150049537,0.00319692973617645,1.05
"ISL",2020-10-05,0.00345352361482347,0.00487141372785467,0.00374989614907618,1.05
"ISL",2020-10-06,0.00509677413053933,0.00593174340189939,0.00428849288618353,1.05
"ISL",2020-10-07,0.00738788045305959,0.00724657265255954,0.00495546633003929,1.05
"ISL",2020-10-08,0.0104341021549062,0.00840274644355184,0.00535652474170519,1.05
