"group","date","cum_I","Incidence","imported","Rt"
"ITA",2020-09-09,0,0,0,1.05
"ITA",2020-09-10,0,0,0,1.05
"ITA",2020-09-11,0,0,0,1.05
"ITA",2020-09-12,0,0,0,1.05
"ITA",2020-09-13,0,0,0,1.05
"ITA",2020-09-14,0,0,0,1.05
"ITA",2020-09-15,0,0,0,1.05
"ITA",2020-09-16,0,0,0,1.05
"ITA",2020-09-17,0,0,0,1.05
"ITA",2020-09-18,0,0,0,1.05
"ITA",2020-09-19,0,0,0,1.05
"ITA",2020-09-20,0,0,0,1.05
"ITA",2020-09-21,0,0,0,1.05
"ITA",2020-09-22,0,0,0,1.05
"ITA",2020-09-23,0,0.00364543339012358,0.00364543339012358,1.05
"ITA",2020-09-24,1.10979546538871e-05,0.00743215878454831,0.00742106082989443,1.05
"ITA",2020-09-25,0.000196298477306808,0.0109248362635987,0.0107396357409457,1.05
"ITA",2020-09-26,0.00103583149511794,0.0147087700281261,0.0138692370103149,1.05
"ITA",2020-09-27,0.00325248473445094,0.0183079785653577,0.0160913253260247,1.05
"ITA",2020-09-28,0.00760138116794224,0.0243647208763097,0.0200158244428184,1.05
"ITA",2020-09-29,0.0147208666342938,0.0310416807405697,0.0239221952742181,1.05
"ITA",2020-09-30,0.025168918678623,0.0419709429764361,0.0315228909321069,1.05
"ITA",2020-10-01,0.0395827306926008,0.0457343345429987,0.0313205225290209,1.05
"ITA",2020-10-02,0.0588475076264726,0.0618882798072319,0.0426235028733601,1.05
"ITA",2020-10-03,0.0839428141372372,0.0878860802727696,0.062790773762005,1.05
"ITA",2020-10-04,0.115943018943169,0.105851582828442,0.0738513780225094,1.05
