"group","date","cum_I","Incidence","imported","Rt"
"JAM",2020-09-09,0,0,0,1.62
"JAM",2020-09-10,0,0,0,1.62
"JAM",2020-09-11,0,0,0,1.62
"JAM",2020-09-12,0,0,0,1.62
"JAM",2020-09-13,0,0,0,1.62
"JAM",2020-09-14,0,0,0,1.62
"JAM",2020-09-15,0,0,0,1.62
"JAM",2020-09-16,0,0,0,1.62
"JAM",2020-09-17,0,0,0,1.62
"JAM",2020-09-18,0,0,0,1.62
"JAM",2020-09-19,0,0,0,1.62
"JAM",2020-09-20,0,0,0,1.62
"JAM",2020-09-21,0,0,0,1.62
"JAM",2020-09-22,0,0,0,1.62
"JAM",2020-09-23,0,2.40597497162945e-05,2.40597497162945e-05,1.62
"JAM",2020-09-24,1.13008367056641e-07,4.90917845752276e-05,4.8978776208171e-05,1.62
"JAM",2020-09-25,1.99905692093953e-06,7.27673184383853e-05,7.08812698845024e-05,1.62
"JAM",2020-09-26,1.05537158193523e-05,0.000100091202160512,9.15365432620988e-05,1.62
"JAM",2020-09-27,3.3193290434781e-05,0.000128841833308873,0.000106202258693445,1.62
"JAM",2020-09-28,7.78677086524141e-05,0.000176778251952248,0.000132103833734615,1.62
"JAM",2020-09-29,0.000151809844291501,0.000231827898281564,0.000157885762642477,1.62
"JAM",2020-09-30,0.000262171811814822,0.000318412090785847,0.000208050123262527,1.62
"JAM",2020-10-01,0.000417778198375932,0.00065949560170855,0.00050388921514744,1.62
"JAM",2020-10-02,0.000632225127666622,0.000900180169845392,0.000685733240554701,1.62
"JAM",2020-10-03,0.000939062901972469,0.00131702506221334,0.00101018728790749,1.62
"JAM",2020-10-04,0.00140142809797333,0.00165049712690458,0.00118813193090372,1.62
"JAM",2020-10-05,0.00210428997123137,0.00209650255978091,0.00139364068652287,1.62
"JAM",2020-10-06,0.00314093564953538,0.00263045466192658,0.00159380898362256,1.62
"JAM",2020-10-07,0.00460040482905708,0.00330115738199053,0.00184168820246883,1.62
"JAM",2020-10-08,0.0065696826329289,0.00396001848618267,0.00199074068231085,1.62
"JAM",2020-10-09,0.00914490174549589,0.0047316906114453,0.00215647149887832,1.62
"JAM",2020-10-10,0.0124344379261261,0.00558531876742156,0.00229578258679132,1.62
"JAM",2020-10-11,0.0165524692328061,0.00657111017634532,0.00245307886966536,1.62
"JAM",2020-10-12,0.0216166455853856,0.00773218042125882,0.00266800406867927,1.62
"JAM",2020-10-13,0.02775212150705,0.00903189055352899,0.00289641463186466,1.62
"JAM",2020-10-14,0.0351009623252251,0.0116700982599495,0.00432125744177436,1.62
"JAM",2020-10-15,0.0438354609640725,0.0141730139105654,0.00543851527171813,1.62
"JAM",2020-10-16,0.0542273513119778,0.0169885999007846,0.00659670955287918,1.62
"JAM",2020-10-17,0.0667072868403257,0.0202143110919416,0.00773437556359373,1.62
"JAM",2020-10-18,0.0818149929489077,0.0239794933753418,0.00887178726675974,1.62
"JAM",2020-10-19,0.100127759963875,0.0286646030219665,0.0103518360069996,1.62
"JAM",2020-10-20,0.122240971726292,0.0343336431233416,0.0122204313609242,1.62
"JAM",2020-10-21,0.148810882638962,0.04159170945919,0.01502179854652,1.62
"JAM",2020-10-22,0.180631972653322,0.0494967997529108,0.0176757097385507,1.62
"JAM",2020-10-23,0.218722730666167,0.058822990177365,0.0207322321645205,1.62
"JAM",2020-10-24,0.264352034246376,0.0689442125667739,0.0233149089865641,1.62
"JAM",2020-10-25,0.31899017244242,0.0807232899499007,0.0260851517538573,1.62
"JAM",2020-10-26,0.384242858028232,0.0943743824948819,0.0291216969090692,1.62
"JAM",2020-10-27,0.461817216490687,0.109943774689409,0.0323694162269539,1.62
"JAM",2020-10-28,0.553571176997221,0.131992937951429,0.0402389774448954,1.62
"JAM",2020-10-29,0.661615359089546,0.155429816227928,0.047385634135603,1.62
"JAM",2020-10-30,0.788619889991345,0.180916360758348,0.0539118298565494,1.62
"JAM",2020-10-31,0.938074041088916,0.210325156468762,0.0608710053711903,1.62
"JAM",2020-11-01,1.11407492706394,0.216844800142218,0.0408439141671957,1.62
"JAM",2020-11-02,1.32089690391641,0.251124615697626,0.0443026388451526,1.62
"JAM",2020-11-03,1.56145799224725,0.289326267996247,0.0487651796654134,1.62
"JAM",2020-11-04,1.83699692872887,0.33133515822712,0.0557962217454994,1.62
"JAM",2020-11-05,2.1495394823829,0.374504889151666,0.0619623354976308,1.62
"JAM",2020-11-06,2.50345739594376,0.422684506370031,0.0687665928091754,1.62
"JAM",2020-11-07,2.90496390596265,0.475351423177426,0.0738449131585364,1.62
"JAM",2020-11-08,3.36093715468083,0.535442234249162,0.0794689855309794,1.62
"JAM",2020-11-09,3.87830965499842,0.602045380119255,0.0846728798016676,1.62
"JAM",2020-11-10,4.46416093927897,0.676431643376682,0.0905803590961282,1.62
"JAM",2020-11-11,5.12613291926148,0.76542174318715,0.103449763204644,1.62
"JAM",2020-11-12,5.87278278694373,0.857329048666443,0.11067918098419,1.62
"JAM",2020-11-13,6.71409182868933,0.958729359906707,0.117420318161105,1.62
"JAM",2020-11-14,7.66159396085963,1.0713532522904,0.123851120120106,1.62
"JAM",2020-11-15,8.72777581296215,1.1945570870761,0.128375234973583,1.62
"JAM",2020-11-16,9.92574155007106,1.33121178384601,0.133246046737102,1.62
"JAM",2020-11-17,11.2693643635427,1.48130923733856,0.137686423866951,1.62
"JAM",2020-11-18,12.7735844818954,1.64910024287899,0.144880124526226,1.62
"JAM",2020-11-19,14.4547684983985,1.82896207077064,0.147778054267624,1.62
"JAM",2020-11-20,16.3310540146615,2.02704833019848,0.150762813935478,1.62
"JAM",2020-11-21,18.4224107414011,2.24385562093366,0.152498894193981,1.62
"JAM",2020-11-22,20.7504068769457,2.48196149168647,0.153965356141951,1.62
"JAM",2020-11-23,23.3382258645119,2.74068935548983,0.152870367923586,1.62
"JAM",2020-11-24,26.2109482895116,3.02864758009711,0.155925155097458,1.62
"JAM",2020-11-25,29.3958254666909,3.35324630153877,0.168369124359412,1.62
"JAM",2020-11-26,32.9227498685647,3.69738601988699,0.170461618013182,1.62
"JAM",2020-11-27,36.8253730401913,4.07924694450124,0.17662377287465,1.62
"JAM",2020-11-28,41.1414666258833,4.49477684839924,0.17868326270725,1.62
"JAM",2020-11-29,45.9122750122839,4.95260477003482,0.181796383634192,1.62
"JAM",2020-11-30,51.1823179350628,5.45784309693755,0.187800174158709,1.62
"JAM",2020-12-01,56.9998021407979,6.11521993100594,0.297735725270773,1.62
"JAM",2020-12-02,63.4180764544095,6.74229134275986,0.324017029148274,1.62
"JAM",2020-12-03,70.5023365058122,7.43256420204294,0.348304150640261,1.62
"JAM",2020-12-04,78.3321944294471,8.20263447504833,0.372776551413432,1.62
"JAM",2020-12-05,86.9934920542761,9.06347132774467,0.40217370291564,1.62
"JAM",2020-12-06,96.5734803053531,10.005682945099,0.42569469402204,1.62
"JAM",2020-12-07,107.163772399262,11.0359367898294,0.445644695920477,1.62
"JAM",2020-12-08,118.86502996331,12.1815083656131,0.48025080156504,1.62
"JAM",2020-12-09,131.788843383253,13.4608019894696,0.536988569526348,1.62
"JAM",2020-12-10,146.058651085388,14.8504386491494,0.580630947014881,1.62
"JAM",2020-12-11,161.812294820626,16.3821502669908,0.628506531752223,1.62
"JAM",2020-12-12,179.203607468619,18.0554105230135,0.664097875021162,1.62
"JAM",2020-12-13,198.401708777411,19.9104178197464,0.712316510953716,1.62
"JAM",2020-12-14,219.590409262969,21.9428365367178,0.754136051159807,1.62
"JAM",2020-12-15,242.969611453769,24.1960901075226,0.816887916722398,1.62
"JAM",2020-12-16,268.758359025573,26.725774173835,0.937026602031235,1.62
"JAM",2020-12-17,297.198534125096,29.457482507209,1.01730740768598,1.62
"JAM",2020-12-18,328.561341193141,32.4504188430434,1.08761177499866,1.62
"JAM",2020-12-19,363.150210909455,35.7860897053815,1.19721998906724,1.62
"JAM",2020-12-20,401.297199613696,39.4381020817577,1.29111337751747,1.62
"JAM",2020-12-21,443.363540874773,43.4729643019849,1.40662304090709,1.62
"JAM",2020-12-22,489.745495494442,47.9202683636865,1.5383137440176,1.62
"JAM",2020-12-23,540.879818462442,52.8113085761948,1.67698560819494,1.62
"JAM",2020-12-24,597.248933686829,58.1274118354089,1.7582966110219,1.62
"JAM",2020-12-25,659.384944932089,63.982359621145,1.8463483758852,1.62
"JAM",2020-12-26,727.869219713876,70.4081934933013,1.9239187115143,1.62
"JAM",2020-12-27,803.331745662651,77.5165747091975,2.05404876042239,1.62
"JAM",2020-12-28,886.45707675741,85.3583226755245,2.23299158076523,1.62
"JAM",2020-12-29,977.996752012482,93.9431264327179,2.40345117764665,1.62
"JAM",2020-12-30,1078.78450863991,103.393724412821,2.60596778538828,1.62
"JAM",2020-12-31,1189.74524547299,113.693667165488,2.73293033241743,1.62
"JAM",2021-01-01,1311.89793438036,124.73547538556,2.58278647818449,1.62
"JAM",2021-01-02,1446.35455439097,137.19062379962,2.7340037890118,1.62
"JAM",2021-01-03,1594.30705185987,150.822020166323,2.86952269741909,1.62
