"group","date","cum_I","Incidence","imported","Rt"
"KHM",2020-09-09,0,0,0,1.05
"KHM",2020-09-10,0,0,0,1.05
"KHM",2020-09-11,0,0,0,1.05
"KHM",2020-09-12,0,0,0,1.05
"KHM",2020-09-13,0,0,0,1.05
"KHM",2020-09-14,0,0,0,1.05
"KHM",2020-09-15,0,0,0,1.05
"KHM",2020-09-16,0,0,0,1.05
"KHM",2020-09-17,0,0,0,1.05
"KHM",2020-09-18,0,0,0,1.05
"KHM",2020-09-19,0,0,0,1.05
"KHM",2020-09-20,0,0,0,1.05
"KHM",2020-09-21,0,0,0,1.05
"KHM",2020-09-22,0,0,0,1.05
"KHM",2020-09-23,0,3.01773053367784e-06,3.01773053367784e-06,1.05
"KHM",2020-09-24,9.18701099055653e-09,6.15242416883473e-06,6.14323715784417e-06,1.05
"KHM",2020-09-25,1.6249807506787e-07,9.04370165078644e-06,8.89039058670912e-06,1.05
"KHM",2020-09-26,8.57472897195526e-07,1.21760843434906e-05,1.14811095213629e-05,1.05
"KHM",2020-09-27,2.69244324147174e-06,1.51555494269301e-05,1.33205790826539e-05,1.05
"KHM",2020-09-28,6.29250835052164e-06,2.01693884552051e-05,1.65693233461552e-05,1.05
"KHM",2020-09-29,1.2186098049374e-05,2.5696650511099e-05,1.98030608122467e-05,1.05
"KHM",2020-09-30,2.08351123907274e-05,3.47440160312322e-05,2.60950016898787e-05,1.05
"KHM",2020-10-01,3.27670271910685e-05,4.49296947670019e-05,3.29977799666607e-05,1.05
"KHM",2020-10-02,4.87361494404559e-05,6.08751728403459e-05,4.49060505909585e-05,1.05
"KHM",2020-10-03,6.98549950039912e-05,8.72721523806608e-05,6.61533068171256e-05,1.05
"KHM",2020-10-04,9.77403049543579e-05,0.000105691531732377,7.78062217820102e-05,1.05
"KHM",2020-10-05,0.000134888145030367,0.000128412045270422,9.12642051944129e-05,1.05
"KHM",2020-10-06,0.000184521165731552,0.000154005483078804,0.000104372462377619,1.05
"KHM",2020-10-07,0.000249811663204081,0.000185895623054508,0.000120605125581978,1.05
"KHM",2020-10-08,0.000333544774883343,0.00021409911482214,0.000130366003142878,1.05
"KHM",2020-10-09,0.000438365744114467,0.000246040050499891,0.000141219081268768,1.05
"KHM",2020-10-10,0.000566916283255751,0.000278892571423251,0.000150342032281967,1.05
"KHM",2020-10-11,0.000721641399732176,0.000315367881490551,0.000160642765014126,1.05
"KHM",2020-10-12,0.000904717873929681,0.000357793869533449,0.000174717395335945,1.05
"KHM",2020-10-13,0.00111818429190648,0.000403141548623367,0.000189675130646567,1.05
"KHM",2020-10-14,0.00136427940463434,0.000529077756444974,0.000282982643717117,1.05
"KHM",2020-10-15,0.00164596153551867,0.00063782972223329,0.000356147591348961,1.05
"KHM",2020-10-16,0.00196980355178159,0.00075583532706673,0.00043199331080381,1.05
"KHM",2020-10-17,0.00234844467740773,0.000885135837866226,0.000506494712240083,1.05
"KHM",2020-10-18,0.00279827126028685,0.00103080604292551,0.000580979460046393,1.05
"KHM",2020-10-19,0.00333597451620274,0.00121560545453703,0.000677902198621135,1.05
"KHM",2020-10-20,0.00397713035273003,0.00144142520730051,0.00080026937077323,1.05
"KHM",2020-10-21,0.00473746985014644,0.00174405970463802,0.000983720207221602,1.05
"KHM",2020-10-22,0.00563584876599939,0.00205589362975012,0.00115751471389717,1.05
"KHM",2020-10-23,0.00669774051050002,0.00241956643690776,0.00135767469240714,1.05
"KHM",2020-10-24,0.00795611715611305,0.00278518097790312,0.00152680433229009,1.05
"KHM",2020-10-25,0.00944879957366797,0.0032008993670264,0.00170821694947148,1.05
"KHM",2020-10-26,0.0112147045946033,0.00367297371376313,0.00190706869282779,1.05
"KHM",2020-10-27,0.0132912653032179,0.0041963101340786,0.00211974942546398,1.05
"KHM",2020-10-28,0.0157155066061927,0.00505933823280601,0.00263509692983122,1.05
"KHM",2020-10-29,0.0185276322465927,0.00591522981842812,0.00310310417802809,1.05
"KHM",2020-10-30,0.0217834916988036,0.006786339259535,0.00353047980732418,1.05
"KHM",2020-10-31,0.0255649037774381,0.00776762170806718,0.00398620962943261,1.05
"KHM",2020-11-01,0.0299693637040151,0.00710529568667748,0.00270083576010056,1.05
"KHM",2020-11-02,0.0350894401273254,0.00804962305711242,0.00292954663380206,1.05
