"group","date","cum_I","Incidence","imported","Rt"
"LKA",2020-09-09,0,0,0,1.62
"LKA",2020-09-10,0,0,0,1.62
"LKA",2020-09-11,0,0,0,1.62
"LKA",2020-09-12,0,0,0,1.62
"LKA",2020-09-13,0,0,0,1.62
"LKA",2020-09-14,0,0,0,1.62
"LKA",2020-09-15,0,0,0,1.62
"LKA",2020-09-16,0,0,0,1.62
"LKA",2020-09-17,0,0,0,1.62
"LKA",2020-09-18,0,0,0,1.62
"LKA",2020-09-19,0,0,0,1.62
"LKA",2020-09-20,0,0,0,1.62
"LKA",2020-09-21,0,0,0,1.62
"LKA",2020-09-22,0,0,0,1.62
"LKA",2020-09-23,0,4.24620970897893e-05,4.24620970897893e-05,1.62
"LKA",2020-09-24,1.99443980527685e-07,8.66401416275988e-05,8.64406976470712e-05,1.62
"LKA",2020-09-25,3.52805619617322e-06,0.000128424151411755,0.000125095539196109,1.62
"LKA",2020-09-26,1.86258340616021e-05,0.00017664698902063,0.000161549211155201,1.62
"LKA",2020-09-27,5.8581520497559e-05,0.000227387836519457,0.0001874321500835,1.62
"LKA",2020-09-28,0.000137425627612367,0.000311988918682554,0.000233144811567746,1.62
"LKA",2020-09-29,0.00026792316726079,0.000409143853989752,0.000278646314341329,1.62
"LKA",2020-09-30,0.000462696622315548,0.000561952857903369,0.000367179402848611,1.62
"LKA",2020-10-01,0.000737320156303281,0.0007073935240807,0.000432769990092967,1.62
"LKA",2020-10-02,0.00111364473980857,0.000965273024551882,0.000588948441046594,1.62
"LKA",2020-10-03,0.00162083056999948,0.00137479468038597,0.00086760885019507,1.62
"LKA",2020-10-04,0.00229774220568759,0.00169734991559035,0.00102043827990224,1.62
"LKA",2020-10-05,0.00320340725473616,0.00210260645594727,0.0011969414068987,1.62
"LKA",2020-10-06,0.00441636484047256,0.0025818154166201,0.0013688578308837,1.62
"LKA",2020-10-07,0.00601984047794647,0.00318522686607196,0.00158175122859805,1.62
"LKA",2020-10-08,0.00809571867341316,0.00378564454779722,0.00170976635233053,1.62
"LKA",2020-10-09,0.010730794769266,0.00448718191822543,0.0018521058223726,1.62
"LKA",2020-10-10,0.0140205849592429,0.00526154465003331,0.00197175446005641,1.62
"LKA",2020-10-11,0.0180659026092654,0.00615216750155529,0.00210684985153276,1.62
"LKA",2020-10-12,0.0229717478842364,0.00719728565444499,0.00229144037947403,1.62
"LKA",2020-10-13,0.0288505077864125,0.00836637284140216,0.00248761293922598,1.62
"LKA",2020-10-14,0.0358295270535436,0.0106903718502949,0.00371135258316384,1.62
"LKA",2020-10-15,0.0440623760888523,0.0129037690103933,0.00467091997508465,1.62
"LKA",2020-10-16,0.0537884118357798,0.0153916817699533,0.00566564602302583,1.62
"LKA",2020-10-17,0.0653841563868061,0.0182384857239097,0.00664274117288329,1.62
"LKA",2020-10-18,0.0793203708155867,0.0215558323370922,0.00761961790831163,1.62
"LKA",2020-10-19,0.0961008355310749,0.0256712364000585,0.00889077168457031,1.62
"LKA",2020-10-20,0.116245653391459,0.0306404502335666,0.0104956323731824,1.62
"LKA",2020-10-21,0.140328032121672,0.0369839916497389,0.0129016129195259,1.62
"LKA",2020-10-22,0.169040791968077,0.0438937093457911,0.0151809494993864,1.62
"LKA",2020-10-23,0.203270136058118,0.0520354166129848,0.017806072522944,1.62
"LKA",2020-10-24,0.24411841158347,0.0608725043197341,0.0200242287943818,1.62
"LKA",2020-10-25,0.292862152447651,0.0711472187056091,0.0224034778414283,1.62
"LKA",2020-10-26,0.350895516742745,0.0830448074932596,0.0250114431981652,1.62
"LKA",2020-10-27,0.419701198081337,0.0966064588086059,0.027800777470014,1.62
"LKA",2020-10-28,0.500892981559741,0.11575140759158,0.0345596241131754,1.62
"LKA",2020-10-29,0.596303400903357,0.136108016749851,0.0406975974062343,1.62
"LKA",2020-10-30,0.708247416644508,0.15824669770287,0.0463026819617199,1.62
"LKA",2020-10-31,0.839745587597649,0.183777806237121,0.0522796352839798,1.62
"LKA",2020-11-01,0.994342790021131,0.210883809221393,0.0562866067979103,1.62
"LKA",2020-11-02,1.17583821771041,0.242548469828659,0.0610530421393778,1.62
"LKA",2020-11-03,1.38813776861134,0.279502377790154,0.0672028268892287,1.62
"LKA",2020-11-04,1.63528148041841,0.32403595042411,0.0768922386170405,1.62
"LKA",2020-11-05,1.92174788414045,0.371856104624811,0.0853897009027721,1.62
"LKA",2020-11-06,2.25292073909379,0.425939437667168,0.0947665827138283,1.62
"LKA",2020-11-07,2.63527386593409,0.484118094173399,0.101764967333094,1.62
"LKA",2020-11-08,3.07613702699307,0.550378608645625,0.109515447586648,1.62
"LKA",2020-11-09,3.58336679439187,0.623916651822599,0.1166868844238,1.62
"LKA",2020-11-10,4.16522018443665,0.706681315086118,0.124827925041331,1.62
"LKA",2020-11-11,4.83054676577378,0.80788970888168,0.142563127544554,1.62
"LKA",2020-11-12,5.58912614520547,0.91110529835489,0.152525918923201,1.62
"LKA",2020-11-13,6.45241753607858,1.02510720635457,0.161815815481462,1.62
"LKA",2020-11-14,7.43381155555744,1.15207206152803,0.170678042049165,1.62
"LKA",2020-11-15,8.54781746052502,1.29091858635185,0.176912681384265,1.62
"LKA",2020-11-16,9.80956231584798,1.44536995573243,0.183625100409474,1.62
"LKA",2020-11-17,11.2349366615286,1.61511868727049,0.189744341589914,1.62
"LKA",2020-11-18,12.8410041749845,1.80572542500321,0.199657911547311,1.62
"LKA",2020-11-19,14.646446139254,2.00909348502905,0.203651520759552,1.62
"LKA",2020-11-20,16.6720117213776,2.23333037158515,0.207764789461544,1.62
"LKA",2020-11-21,18.9405720733998,2.47871761705502,0.210157265032811,1.62
