"group","date","cum_I","Incidence","imported","Rt"
"LTU",2020-09-09,0,0,0,1.62
"LTU",2020-09-10,0,0,0,1.62
"LTU",2020-09-11,0,0,0,1.62
"LTU",2020-09-12,0,0,0,1.62
"LTU",2020-09-13,0,0,0,1.62
"LTU",2020-09-14,0,0,0,1.62
"LTU",2020-09-15,0,0,0,1.62
"LTU",2020-09-16,0,0,0,1.62
"LTU",2020-09-17,0,0,0,1.62
"LTU",2020-09-18,0,0,0,1.62
"LTU",2020-09-19,0,0,0,1.62
"LTU",2020-09-20,0,0,0,1.62
"LTU",2020-09-21,0,0,0,1.62
"LTU",2020-09-22,0,0,0,1.62
"LTU",2020-09-23,0,0.00019376183384701,0.00019376183384701,1.62
"LTU",2020-09-24,9.10097099892983e-07,0.000395353830288448,0.000394443733188555,1.62
"LTU",2020-09-25,1.60991256988626e-05,0.000586021435426733,0.000570832406827763,1.62
"LTU",2020-09-26,8.49928762838696e-05,0.000806070516578896,0.000737176765993889,1.62
"LTU",2020-09-27,0.000267317528315923,0.00103760970885041,0.000855285056818355,1.62
"LTU",2020-09-28,0.000627096715629513,0.0014236589609799,0.00106387977366631,1.62
"LTU",2020-09-29,0.00122257937729206,0.00186699359875353,0.00127151093709098,1.62
"LTU",2020-09-30,0.00211136406817355,0.00256428729962816,0.00167550260874668,1.62
"LTU",2020-10-01,0.00336451836836013,0.00277041132744566,0.00151725702725908,1.62
"LTU",2020-10-02,0.00507960291389721,0.00377989075051276,0.00206480620497568,1.62
"LTU",2020-10-03,0.00735956197343394,0.00532172640710132,0.00304176734756459,1.62
"LTU",2020-10-04,0.0103090159790136,0.00652702912980039,0.00357757512422069,1.62
"LTU",2020-10-05,0.0141061830903811,0.00799354810452336,0.00419638099315595,1.62
"LTU",2020-10-06,0.0190231583154876,0.00971608147270186,0.0047991062475953,1.62
"LTU",2020-10-07,0.0253656312754088,0.0118879664597143,0.00554549349979309,1.62
"LTU",2020-10-08,0.0334354624820232,0.0140641355078146,0.00599430430120015,1.62
"LTU",2020-10-09,0.0435456629411427,0.0166035355760453,0.00649333511692578,1.62
"LTU",2020-10-10,0.0560361230683441,0.019403273813537,0.00691281368633566,1.62
"LTU",2020-10-11,0.0712659510380049,0.0226162753107325,0.00738644734107172,1.62
"LTU",2020-10-12,0.0896114152075681,0.026379071161479,0.00803360699191578,1.62
"LTU",2020-10-13,0.111476620480285,0.0305865775941446,0.00872137232142742,1.62
"LTU",2020-10-14,0.137319005653505,0.0388540909669408,0.0130117057937215,1.62
"LTU",2020-10-15,0.167688499163252,0.0467453659551534,0.0163758724454059,1.62
"LTU",2020-10-16,0.203436574321849,0.0556113776961679,0.0198633025375714,1.62
"LTU",2020-10-17,0.24589698583372,0.0657493316208083,0.0232889201089366,1.62
"LTU",2020-10-18,0.296735039212115,0.0775518253151489,0.0267137719367543,1.62
"LTU",2020-10-19,0.357733360809365,0.0921686571680519,0.0311703355708018,1.62
"LTU",2020-10-20,0.430733414070846,0.109796902253524,0.0367968489920432,1.62
"LTU",2020-10-21,0.517764544205946,0.132263154797721,0.0452320246626207,1.62
"LTU",2020-10-22,0.621277294108226,0.156735946601896,0.0532231966996167,1.62
