"group","date","cum_I","Incidence","imported","Rt"
"MEX",2020-09-09,0,0,0,2.63
"MEX",2020-09-10,0,0,0,2.63
"MEX",2020-09-11,0,0,0,2.63
"MEX",2020-09-12,0,0,0,2.63
"MEX",2020-09-13,0,0,0,2.63
"MEX",2020-09-14,0,0,0,2.63
"MEX",2020-09-15,0,0,0,2.63
"MEX",2020-09-16,0,0,0,2.63
"MEX",2020-09-17,0,0,0,2.63
"MEX",2020-09-18,0,0,0,2.63
"MEX",2020-09-19,0,0,0,2.63
"MEX",2020-09-20,0,0,0,2.63
"MEX",2020-09-21,0,0,0,2.63
"MEX",2020-09-22,0,0,0,2.63
"MEX",2020-09-23,0,7.50134949785021e-05,7.50134949785021e-05,2.63
"MEX",2020-09-24,5.7200474113996e-07,0.000153278048090234,0.000152706043349094,2.63
"MEX",2020-09-25,1.01201296863141e-05,0.000230541769735668,0.000220993644790494,2.63
"MEX",2020-09-26,5.34730176248839e-05,0.000328745550343971,0.000285392662405401,2.63
"MEX",2020-09-27,0.000168674382370721,0.000446318799180781,0.000331117434434943,2.63
"MEX",2020-09-28,0.000398307392857378,0.00064150638345783,0.000411873372971173,2.63
"MEX",2020-09-29,0.000785608501413568,0.000879557387312794,0.000492256278756605,2.63
"MEX",2020-09-30,0.00138026832811455,0.0012433185642464,0.000648658737545417,2.63
"MEX",2020-10-01,0.00224904142153427,0.00189809409916444,0.00102932100574472,2.63
"MEX",2020-10-02,0.00348838784219179,0.00264012978259914,0.00140078336194161,2.63
"MEX",2020-10-03,0.00525345494332008,0.00382862981277557,0.00206356271164728,2.63
"MEX",2020-10-04,0.00778258330354865,0.00495618795450345,0.00242705959427488,2.63
"MEX",2020-10-05,0.0114119413059078,0.00647622114206482,0.0028468631397057,2.63
"MEX",2020-10-06,0.016563928983448,0.00840774512713617,0.00325575744959596,2.63
"MEX",2020-10-07,0.0237148343383271,0.0109130187239432,0.0037621133690641,2.63
"MEX",2020-10-08,0.0334072562247291,0.0137590125966112,0.0040665907102091,2.63
"MEX",2020-10-09,0.0463011598967066,0.0172990414390872,0.0044051377671097,2.63
"MEX",2020-10-10,0.0632054294897177,0.0215939854475483,0.00468971585453721,2.63
"MEX",2020-10-11,0.0850821278129927,0.0268877315690575,0.0050110332457825,2.63
"MEX",2020-10-12,0.113070031356834,0.0334379757993075,0.00545007225546669,2.63
"MEX",2020-10-13,0.148536464822343,0.041383091993421,0.00591665852791134,2.63
"MEX",2020-10-14,0.193154089530828,0.0534448845948619,0.00882725988637711,2.63
"MEX",2020-10-15,0.248999179475697,0.0669546311713165,0.0111095412264478,2.63
"MEX",2020-10-16,0.318848143433979,0.0833244095670725,0.0134754456087904,2.63
"MEX",2020-10-17,0.406461588311815,0.103412860691085,0.0157994158132482,2.63
