"group","date","cum_I","Incidence","imported","Rt"
"NPL",2020-09-09,0,0,0,2.63
"NPL",2020-09-10,0,0,0,2.63
"NPL",2020-09-11,0,0,0,2.63
"NPL",2020-09-12,0,0,0,2.63
"NPL",2020-09-13,0,0,0,2.63
"NPL",2020-09-14,0,0,0,2.63
"NPL",2020-09-15,0,0,0,2.63
"NPL",2020-09-16,0,0,0,2.63
"NPL",2020-09-17,0,0,0,2.63
"NPL",2020-09-18,0,0,0,2.63
"NPL",2020-09-19,0,0,0,2.63
"NPL",2020-09-20,0,0,0,2.63
"NPL",2020-09-21,0,0,0,2.63
"NPL",2020-09-22,0,0,0,2.63
"NPL",2020-09-23,0,9.54347810623022e-06,9.54347810623022e-06,2.63
"NPL",2020-09-24,7.27724354836892e-08,1.95005671517381e-05,1.94277947162544e-05,2.63
"NPL",2020-09-25,1.2875181475177e-06,2.93303269321668e-05,2.81155812201327e-05,2.63
"NPL",2020-09-26,6.80302355094097e-06,4.18241539489318e-05,3.63086485455085e-05,2.63
"NPL",2020-09-27,2.14593424249625e-05,5.67822321783759e-05,4.21259133043544e-05,2.63
"NPL",2020-09-28,5.06740538402246e-05,8.16146764964261e-05,5.2399965081164e-05,2.63
"NPL",2020-09-29,9.99478498563143e-05,0.000111900354348219,6.26265583321289e-05,2.63
"NPL",2020-09-30,0.000175602544233664,0.00015817931827274,8.25246238953902e-05,2.63
"NPL",2020-10-01,0.00028613088315067,0.000311532297867383,0.000201003958950377,2.63
"NPL",2020-10-02,0.000444339008981975,0.000431750587134104,0.000273542461302799,2.63
"NPL",2020-10-03,0.000677452890245262,0.00063608270466098,0.000402968823397693,2.63
"NPL",2020-10-04,0.00103391577361901,0.000830414725738795,0.000473951842365042,2.63
"NPL",2020-10-05,0.00157958930364024,0.00110160385542708,0.000555930325405857,2.63
"NPL",2020-10-06,0.00239155027313406,0.00144773944200007,0.000635778472506247,2.63
"NPL",2020-10-07,0.00355370703103771,0.00189681550573996,0.00073465874783631,2.63
"NPL",2020-10-08,0.00516215689343929,0.00240256639905134,0.000794116536649771,2.63
"NPL",2020-10-09,0.00733569320422735,0.0030337637092081,0.000860227398420036,2.63
"NPL",2020-10-10,0.0102206159924032,0.00380072208485134,0.000915799296675499,2.63
"NPL",2020-10-11,0.0139901771295276,0.00474810671737855,0.00097854558025414,2.63
"NPL",2020-10-12,0.0188485446512726,0.00592264785198248,0.00106428033023753,2.63
"NPL",2020-10-13,0.0250406483362701,0.0073474981452585,0.00115539446026096,2.63
"NPL",2020-10-14,0.0328666486768996,0.00954977181128162,0.00172377147065208,2.63
"NPL",2020-10-15,0.0427001522340961,0.0120029548325281,0.00216945127533156,2.63
"NPL",2020-10-16,0.0550448415873665,0.01497615019092,0.00263146083764961,2.63
"NPL",2020-10-17,0.0705884554047189,0.018628895386311,0.00308528156895857,2.63
"NPL",2020-10-18,0.0901921596035833,0.0231427050545633,0.00353900085569894,2.63
"NPL",2020-10-19,0.114875461319683,0.0288127015072883,0.00412939979118851,2.63
"NPL",2020-10-20,0.145844432850526,0.0358437634688056,0.00487479193796275,2.63
"NPL",2020-10-21,0.184565565557132,0.0447134041973188,0.00599227149071258,2.63
"NPL",2020-10-22,0.232864995022384,0.055350359566359,0.00705093010110732,2.63
"NPL",2020-10-23,0.29304064070515,0.0684458380537769,0.0082701923710108,2.63
"NPL",2020-10-24,0.367952296956061,0.0842120914814924,0.00930043523058113,2.63
"NPL",2020-10-25,0.461087380941892,0.103540583081128,0.0104054990952972,2.63
"NPL",2020-10-26,0.576643681657771,0.127173093046636,0.0116167923307569,2.63
"NPL",2020-10-27,0.719659915897979,0.155928558249022,0.0129123240088132,2.63
"NPL",2020-10-28,0.896226202204753,0.192617818126466,0.0160515318196923,2.63
"NPL",2020-10-29,1.11375834782964,0.23643451497971,0.0189023693548261,2.63
"NPL",2020-10-30,1.38144608649149,0.289193440529787,0.021505701867929,2.63
"NPL",2020-10-31,1.71072917765647,0.353564843377748,0.0242817522127733,2.63
"NPL",2020-11-01,2.11554944988909,0.426110851564047,0.0212905793314236,2.63
"NPL",2020-11-02,2.61260447004509,0.520148518077446,0.0230934979214527,2.63
"NPL",2020-11-03,3.22141259712862,0.634227799694432,0.0254196726108949,2.63
"NPL",2020-11-04,3.96494075236881,0.77261287715502,0.0290847219148345,2.63
"NPL",2020-11-05,4.87132593473595,0.938684095102889,0.0322989127357469,2.63
"NPL",2020-11-06,5.97548360724686,1.14000341916394,0.0358457466530312,2.63
"NPL",2020-11-07,7.32015618251305,1.38316548207693,0.0384929068107442,2.63
"NPL",2020-11-08,8.95692695345088,1.67819532035562,0.0414245494177923,2.63
"NPL",2020-11-09,10.9477883555385,2.03499856918814,0.0441371671005367,2.63
"NPL",2020-11-10,13.3674090071985,2.466837192007,0.0472165403470036,2.63
"NPL",2020-11-11,16.3060201288698,2.99253605602771,0.0539249343564242,2.63
"NPL",2020-11-12,19.8728218055349,3.62449506700567,0.0576933903404753,2.63
"NPL",2020-11-13,24.2002515134936,4.38863702978137,0.0612073218226929,2.63
"NPL",2020-11-14,29.4487890546174,5.3130970269607,0.0645594858369525,2.63
"NPL",2020-11-15,35.8121612032489,6.43028990566151,0.0669177570300152,2.63
"NPL",2020-11-16,43.523987037577,7.78128258416463,0.0694567498365111,2.63
"NPL",2020-11-17,52.866267077111,9.41405141086239,0.0717713713284058,2.63
"NPL",2020-11-18,64.1797093462388,11.3889634782888,0.0755212091609366,2.63
"NPL",2020-11-19,77.8761376473437,13.773460105034,0.0770318039291944,2.63
"NPL",2020-11-20,94.4534320415455,16.6558820544633,0.0785876602615124,2.63
"NPL",2020-11-21,114.51333748154,20.1393980613803,0.0794926213854162,2.63
"NPL",2020-11-22,138.782784325105,24.3497038829811,0.0802570394162628,2.63
"NPL",2020-11-23,168.139939620847,29.4368415540755,0.0796862583340522,2.63
"NPL",2020-11-24,203.645905205434,35.5872442022731,0.0812786176853062,2.63
"NPL",2020-11-25,246.582942774941,43.0248028161104,0.0877652466035062,2.63
"NPL",2020-11-26,298.500783161388,52.0066963806695,0.088855994222692,2.63
"NPL",2020-11-27,361.273088784936,62.864373744953,0.0920681214050564,2.63
"NPL",2020-11-28,437.164907467808,75.9849603480974,0.0931416652256541,2.63
"NPL",2020-11-29,528.913355057712,91.843212021934,0.0947644320298359,2.63
"NPL",2020-11-30,639.825706443645,111.010245395062,0.0978940091298229,2.63
"NPL",2020-12-01,773.898520094031,134.189777929468,0.116964279081326,2.63
"NPL",2020-12-02,935.962071518349,162.190840207651,0.127288783332718,2.63
"NPL",2020-12-03,1131.85597491459,196.030733277318,0.136829881075313,2.63
"NPL",2020-12-04,1368.64004011165,236.930508962092,0.146443765036399,2.63
"NPL",2020-12-05,1654.84624993646,286.364202142272,0.157992317462795,2.63
"NPL",2020-12-06,2000.78419652977,346.105179037284,0.16723244397276,2.63
"NPL",2020-12-07,2418.91253520854,418.303408400542,0.175069721772056,2.63
