"group","date","cum_I","Incidence","imported","Rt"
"NZL",2020-09-09,0,0,0,1.62
"NZL",2020-09-10,0,0,0,1.62
"NZL",2020-09-11,0,0,0,1.62
"NZL",2020-09-12,0,0,0,1.62
"NZL",2020-09-13,0,0,0,1.62
"NZL",2020-09-14,0,0,0,1.62
"NZL",2020-09-15,0,0,0,1.62
"NZL",2020-09-16,0,0,0,1.62
"NZL",2020-09-17,0,0,0,1.62
"NZL",2020-09-18,0,0,0,1.62
"NZL",2020-09-19,0,0,0,1.62
"NZL",2020-09-20,0,0,0,1.62
"NZL",2020-09-21,0,0,0,1.62
"NZL",2020-09-22,0,0,0,1.62
"NZL",2020-09-23,0,7.15724307517244e-06,7.15724307517244e-06,1.62
"NZL",2020-09-24,3.36174882153868e-08,1.46037194626736e-05,1.45701019744582e-05,1.62
"NZL",2020-09-25,5.94675192925223e-07,2.16466668246045e-05,2.10856091198947e-05,1.62
"NZL",2020-09-26,3.13949689236543e-06,2.97749175280838e-05,2.72300958286436e-05,1.62
"NZL",2020-09-27,9.87426930487259e-06,3.83275940155739e-05,3.15928216030668e-05,1.62
"NZL",2020-09-28,2.31639200367322e-05,5.25876176828817e-05,3.92979669510222e-05,1.62
"NZL",2020-09-29,4.51600689787098e-05,6.89636691641799e-05,4.69675202222023e-05,1.62
"NZL",2020-09-30,7.79903119003034e-05,9.47205502426636e-05,6.189030732107e-05,1.62
"NZL",2020-10-01,0.000124279768183086,0.000129956049104058,8.36665928212747e-05,1.62
"NZL",2020-10-02,0.000187761905484923,0.000177342410744514,0.000113860273442677,1.62
"NZL",2020-10-03,0.000274057550948715,0.000254028801780411,0.000167733156316619,1.62
"NZL",2020-10-04,0.000391421556678381,0.000314643382808196,0.000197279377078531,1.62
"NZL",2020-10-05,0.000551938729525788,0.000391919561216351,0.000231402388368945,1.62
"NZL",2020-10-06,0.00077086919852023,0.000483569130150586,0.000264638661156143,1.62
"NZL",2020-10-07,0.00106397692924902,0.000598904664474666,0.00030579693374588,1.62
"NZL",2020-10-08,0.00144674619270358,0.00071331511574258,0.000330545852288013,1.62
"NZL",2020-10-09,0.0019357528043073,0.000847070680854618,0.000358064069250903,1.62
"NZL",2020-10-10,0.00254934514570169,0.00099478785247323,0.000381195511078837,1.62
"NZL",2020-10-11,0.00330688054756587,0.0011648486460794,0.00040731324421522,1.62
"NZL",2020-10-12,0.00422846762100903,0.0013645868506747,0.000442999777231542,1.62
"NZL",2020-10-13,0.00533559763102677,0.00158805545227968,0.000480925442261937,1.62
"NZL",2020-10-14,0.00665263266314555,0.00203454371456012,0.000717508682441337,1.62
"NZL",2020-10-15,0.00820899220140903,0.00245937954566329,0.00090302000739981,1.62
"NZL",2020-10-16,0.010050662304953,0.00293699859149233,0.00109532848794841,1.62
"NZL",2020-10-17,0.0122501143085471,0.00348368042435256,0.00128422842075846,1.62
"NZL",2020-10-18,0.0148980114918913,0.00412098331126969,0.00147308612792549,1.62
"NZL",2020-10-19,0.0180913642019694,0.00491218856151989,0.00171883585144171,1.62
"NZL",2020-10-20,0.0219303006060512,0.00586803689688677,0.00202910049280498,1.62
"NZL",2020-10-21,0.0265251756934864,0.007089119188427,0.00249424410099183,1.62
"NZL",2020-10-22,0.0320094256664679,0.00841915384682139,0.00293490387383988,1.62
"NZL",2020-10-23,0.0385538252630083,0.0099868134737208,0.00344241387718037,1.62
"NZL",2020-10-24,0.0463708830802173,0.0116883035954564,0.00387124577824744,1.62
"NZL",2020-10-25,0.0557067248682749,0.0136670632249612,0.00433122143690364,1.62
"NZL",2020-10-26,0.0668301530170817,0.0159588425302056,0.00483541438139877,1.62
"NZL",2020-10-27,0.080027017012207,0.0185715350258012,0.00537467103067582,1.62
"NZL",2020-10-28,0.0956084341318092,0.0222627630191,0.00668134589949782,1.62
"NZL",2020-10-29,0.113927728757662,0.0261872831392431,0.00786798851339047,1.62
"NZL",2020-10-30,0.13543140079788,0.0304552808090976,0.00895160876887975,1.62
"NZL",2020-10-31,0.160702262302901,0.0353779832054191,0.0101071217003976,1.62
"NZL",2020-11-01,0.190424381287087,0.0396645375216071,0.00994241853742127,1.62
"NZL",2020-11-02,0.225326460581391,0.0456864369322035,0.0107843576378999,1.62
"NZL",2020-11-03,0.266101496573688,0.0526456863981658,0.0118706504058686,1.62
"NZL",2020-11-04,0.313398581289257,0.0608792645999369,0.0135821798843676,1.62
"NZL",2020-11-05,0.367962084839592,0.0696466679736003,0.0150831644232656,1.62
"NZL",2020-11-06,0.430760519419038,0.0795379234614983,0.0167394888820517,1.62
"NZL",2020-11-07,0.502994892749105,0.0902100509420664,0.0179756776119997,1.62
"NZL",2020-11-08,0.586019054596715,0.102368877725205,0.0193447158775948,1.62
"NZL",2020-11-09,0.681267417105488,0.115859834913469,0.0206114724046964,1.62
"NZL",2020-11-10,0.79023964483175,0.131021726648355,0.0220494989220925,1.62
"NZL",2020-11-11,0.914545084732299,0.149487669967122,0.0251822300665733,1.62
"NZL",2020-11-12,1.05596648609314,0.168363450455828,0.026942049094982,1.62
"NZL",2020-11-13,1.21659106588496,0.189207588344225,0.0285830085524104,1.62
"NZL",2020-11-14,1.39885292237186,0.212410281231942,0.0301484247450388,1.62
"NZL",2020-11-15,1.60538908055863,0.237785864341822,0.0312497061550551,1.62
"NZL",2020-11-16,1.83895209721527,0.265998398821384,0.0324353821647457,1.62
"NZL",2020-11-17,2.10243752995301,0.297001712480232,0.0335162797424909,1.62
"NZL",2020-11-18,2.39895632420972,0.331786198597466,0.0352674043407517,1.62
"NZL",2020-11-19,2.73191471978562,0.368931227664412,0.0359728320885204,1.62
"NZL",2020-11-20,3.10509446429534,0.409879140896908,0.0366993963871805,1.62
"NZL",2020-11-21,3.5226631956521,0.454690732601888,0.0371220012451266,1.62
"NZL",2020-11-22,3.98911200219212,0.503927780880233,0.0374789743402181,1.62
"NZL",2020-11-23,4.50925297676755,0.557353401710704,0.037212427135267,1.62
"NZL",2020-11-24,5.08828069402179,0.616983755114497,0.0379560378602592,1.62
"NZL",2020-11-25,5.7318311923584,0.684535705981202,0.0409852076445918,1.62
"NZL",2020-11-26,6.44608828639128,0.755751666367823,0.0414945723349474,1.62
