"group","date","cum_I","Incidence","imported","Rt"
"PAN",2020-09-09,0,0,0,1.05
"PAN",2020-09-10,0,0,0,1.05
"PAN",2020-09-11,0,0,0,1.05
"PAN",2020-09-12,0,0,0,1.05
"PAN",2020-09-13,0,0,0,1.05
"PAN",2020-09-14,0,0,0,1.05
"PAN",2020-09-15,0,0,0,1.05
"PAN",2020-09-16,0,0,0,1.05
"PAN",2020-09-17,0,0,0,1.05
"PAN",2020-09-18,0,0,0,1.05
"PAN",2020-09-19,0,0,0,1.05
"PAN",2020-09-20,0,0,0,1.05
"PAN",2020-09-21,0,0,0,1.05
"PAN",2020-09-22,0,0,0,1.05
"PAN",2020-09-23,0,7.61199517816609e-06,7.61199517816609e-06,1.05
"PAN",2020-09-24,2.3173534741237e-08,1.55190208617222e-05,1.5495847326981e-05,1.05
"PAN",2020-09-25,4.09889004360635e-07,2.28120478585807e-05,2.24253323889613e-05,1.05
"PAN",2020-09-26,2.16291000340101e-06,3.07132443660023e-05,2.89602233669619e-05,1.05
"PAN",2020-09-27,6.79148278577107e-06,3.82287178635698e-05,3.36001450811997e-05,1.05
"PAN",2020-09-28,1.58723725290225e-05,5.08757445219826e-05,4.17948547787311e-05,1.05
"PAN",2020-09-29,3.07385031755777e-05,6.48178416205755e-05,4.99517109740203e-05,1.05
"PAN",2020-09-30,5.25549823898547e-05,8.76391313102241e-05,6.58226520959471e-05,1.05
"PAN",2020-10-01,8.26523277004687e-05,0.000194833750771603,0.000164736405460989,1.05
"PAN",2020-10-02,0.000123181341197209,0.000264715651666885,0.000224186638170144,1.05
"PAN",2020-10-03,0.000180425161389671,0.000387504158476487,0.000330260338284025,1.05
"PAN",2020-10-04,0.000266846523236802,0.000474857108488845,0.000388435746641714,1.05
"PAN",2020-10-05,0.000399147754911356,0.000587923916781606,0.000455622685107053,1.05
"PAN",2020-10-06,0.000594926575458489,0.000716842489029472,0.000521063668482339,1.05
"PAN",2020-10-07,0.00086946589982942,0.000876642098818784,0.000602102774447853,1.05
"PAN",2020-10-08,0.00123572774355281,0.00101709431711317,0.000650832473389784,1.05
"PAN",2020-10-09,0.00170648705500024,0.00117577412923895,0.000705014817791521,1.05
"PAN",2020-10-10,0.00229498726269328,0.00133905997301223,0.00075055976531919,1.05
"PAN",2020-10-11,0.00301362828619427,0.00152062563272255,0.000801984609221558,1.05
"PAN",2020-10-12,0.00387338472064281,0.00173200649818708,0.000872250063738536,1.05
"PAN",2020-10-13,0.00488443177025107,0.00195797133541259,0.000946924285804336,1.05
"PAN",2020-10-14,0.00605790371282863,0.00258621981776509,0.00141274787518753,1.05
"PAN",2020-10-15,0.00740853920548915,0.00312864825811609,0.00177801276545557,1.05
"PAN",2020-10-16,0.00896914740426424,0.0037172692007247,0.00215666100194961,1.05
"PAN",2020-10-17,0.0108028125609972,0.00436226309161621,0.00252859793488322,1.05
"PAN",2020-10-18,0.0129913528828033,0.00508899204890432,0.00290045172709824,1.05
"PAN",2020-10-19,0.0156180978979135,0.00601106879591539,0.00338432378080519,1.05
"PAN",2020-10-20,0.0187608018860648,0.0071379272933223,0.00399522330517104,1.05
"PAN",2020-10-21,0.0224979919364717,0.00864826379781528,0.00491107374740838,1.05
"PAN",2020-10-22,0.0269237962200996,0.0102045207132872,0.00577871642965928,1.05
"PAN",2020-10-23,0.0321653823966286,0.0120195709027281,0.00677798472619911,1.05
"PAN",2020-10-24,0.0383873546374903,0.0138443110102534,0.00762233876939169,1.05
