"group","date","cum_I","Incidence","imported","Rt"
"PER",2020-09-09,0,0,0,1.62
"PER",2020-09-10,0,0,0,1.62
"PER",2020-09-11,0,0,0,1.62
"PER",2020-09-12,0,0,0,1.62
"PER",2020-09-13,0,0,0,1.62
"PER",2020-09-14,0,0,0,1.62
"PER",2020-09-15,0,0,0,1.62
"PER",2020-09-16,0,0,0,1.62
"PER",2020-09-17,0,0,0,1.62
"PER",2020-09-18,0,0,0,1.62
"PER",2020-09-19,0,0,0,1.62
"PER",2020-09-20,0,0,0,1.62
"PER",2020-09-21,0,0,0,1.62
"PER",2020-09-22,0,0,0,1.62
"PER",2020-09-23,0,5.53441868773134e-06,5.53441868773134e-06,1.62
"PER",2020-09-24,2.59951007754955e-08,1.12924902865143e-05,1.12664951857388e-05,1.62
"PER",2020-09-25,4.59839279774119e-07,1.67385285287798e-05,1.63046843497812e-05,1.62
"PER",2020-09-26,2.42765127419724e-06,2.30237897836264e-05,2.10559777892033e-05,1.62
"PER",2020-09-27,7.63538977153744e-06,2.96372430484292e-05,2.4429504551089e-05,1.62
"PER",2020-09-28,1.79117616358609e-05,4.06639666964783e-05,3.03875948321548e-05,1.62
"PER",2020-09-29,3.49205311416626e-05,5.33269326454395e-05,3.63181631396378e-05,1.62
"PER",2020-09-30,6.0306885641527e-05,7.32437305634701e-05,4.78573760636057e-05,1.62
"PER",2020-10-01,9.61007282154966e-05,0.000118145907021197,8.23520644472276e-05,1.62
"PER",2020-10-02,0.00014527193441434,0.000161242563001436,0.000112071356802593,1.62
"PER",2020-10-03,0.000213329100811341,0.000233154981822929,0.000165097815425928,1.62
"PER",2020-10-04,0.000309461724273988,0.000290312443955456,0.000194179820492809,1.62
"PER",2020-10-05,0.000446531256487192,0.000364836240018665,0.000227766707805461,1.62
"PER",2020-10-06,0.000639667640769842,0.000453617172896968,0.000260480788614318,1.62
"PER",2020-10-07,0.00090391926263565,0.000565244024525258,0.000300992402659449,1.62
"PER",2020-10-08,0.00125402985793328,0.000675463073658195,0.000325352478360568,1.62
"PER",2020-10-09,0.0017060216572148,0.000804430141908625,0.000352438342627106,1.62
"PER",2020-10-10,0.00227778592795579,0.000946970625353967,0.000375206354612971,1.62
"PER",2020-10-11,0.00298818529072356,0.00111131310153414,0.000400913738766375,1.62
"PER",2020-10-12,0.00385673835239465,0.00130459264419133,0.000436039582520239,1.62
"PER",2020-10-13,0.00490425941879995,0.00152089044455207,0.000473369378146778,1.62
"PER",2020-10-14,0.00615435845848602,0.00195633457845214,0.00070623553876607,1.62
"PER",2020-10-15,0.00763560505845448,0.00237007880095676,0.000888832200988295,1.62
"PER",2020-10-16,0.00939284871428113,0.0028353628810603,0.00107811922523365,1.62
"PER",2020-10-17,0.0114969612638781,0.00336816380476372,0.0012640512551668,1.62
"PER",2020-10-18,0.0140366817593192,0.00398966221832666,0.00144994172288548,1.62
"PER",2020-10-19,0.017106944191533,0.00476209277977563,0.00169183034756185,1.62
"PER",2020-10-20,0.0208056971560455,0.00569597322792549,0.00199722026341303,1.62
"PER",2020-10-21,0.0252408981857629,0.00689025679362039,0.002455055763903,1.62
"PER",2020-10-22,0.030543161288276,0.00819105520955138,0.00288879210703823,1.62
"PER",2020-10-23,0.0368797837181628,0.00972495079259626,0.00338832836270946,1.62
"PER",2020-10-24,0.0444590649880717,0.0113897039376792,0.00381042266777028,1.62
"PER",2020-10-25,0.0535223102626913,0.0133264166896315,0.00426317141501195,1.62
"PER",2020-10-26,0.0643330539991821,0.0155701864643265,0.00475944272783565,1.62
