"group","date","cum_I","Incidence","imported","Rt"
"ROU",2020-09-09,0,0,0,1.05
"ROU",2020-09-10,0,0,0,1.05
"ROU",2020-09-11,0,0,0,1.05
"ROU",2020-09-12,0,0,0,1.05
"ROU",2020-09-13,0,0,0,1.05
"ROU",2020-09-14,0,0,0,1.05
"ROU",2020-09-15,0,0,0,1.05
"ROU",2020-09-16,0,0,0,1.05
"ROU",2020-09-17,0,0,0,1.05
"ROU",2020-09-18,0,0,0,1.05
"ROU",2020-09-19,0,0,0,1.05
"ROU",2020-09-20,0,0,0,1.05
"ROU",2020-09-21,0,0,0,1.05
"ROU",2020-09-22,0,0,0,1.05
"ROU",2020-09-23,0,0.000430457641121915,0.000430457641121915,1.05
"ROU",2020-09-24,1.31046130057756e-06,0.000877599230727333,0.000876288769426755,1.05
"ROU",2020-09-25,2.31791862460688e-05,0.00129001924995053,0.00126815052500504,1.05
"ROU",2020-09-26,0.000122312365711101,0.00173683120017103,0.001637698020706,1.05
"ROU",2020-09-27,0.00038405773929923,0.00216183054895629,0.00190008517536816,1.05
"ROU",2020-09-28,0.000897581235659347,0.00287701876638997,0.00236349527002985,1.05
"ROU",2020-09-29,0.0017382595835755,0.00366544310046829,0.00282476475255214,1.05
"ROU",2020-09-30,0.00297197951643881,0.00495598497513258,0.00372226504226926,1.05
"ROU",2020-10-01,0.00467398168054947,0.00620987940245433,0.00450787723834367,1.05
"ROU",2020-10-02,0.00695125667964119,0.00841195931807975,0.00613468431898803,1.05
"ROU",2020-10-03,0.00995400668932599,0.0120400545296671,0.00903730451998234,1.05
"ROU",2020-10-04,0.0138923738274821,0.0145675942112202,0.0106292270730641,1.05
