"group","date","cum_I","Incidence","imported","Rt"
"SGP",2020-09-09,0,0,0,1.62
"SGP",2020-09-10,0,0,0,1.62
"SGP",2020-09-11,0,0,0,1.62
"SGP",2020-09-12,0,0,0,1.62
"SGP",2020-09-13,0,0,0,1.62
"SGP",2020-09-14,0,0,0,1.62
"SGP",2020-09-15,0,0,0,1.62
"SGP",2020-09-16,0,0,0,1.62
"SGP",2020-09-17,0,0,0,1.62
"SGP",2020-09-18,0,0,0,1.62
"SGP",2020-09-19,0,0,0,1.62
"SGP",2020-09-20,0,0,0,1.62
"SGP",2020-09-21,0,0,0,1.62
"SGP",2020-09-22,0,0,0,1.62
"SGP",2020-09-23,0,3.80412205051824e-05,3.80412205051824e-05,1.62
"SGP",2020-09-24,1.78679174173652e-07,7.76197352025808e-05,7.74410560284071e-05,1.62
"SGP",2020-09-25,3.16073799721903e-06,0.000115053466429482,0.000112071407606437,1.62
"SGP",2020-09-26,1.66866337084592e-05,0.000158255656726059,0.000144729761014819,1.62
"SGP",2020-09-27,5.24823946887067e-05,0.000203713698146885,0.000167917937166637,1.62
"SGP",2020-09-28,0.00012311776764135,0.000279506667456385,0.000208871294503741,1.62
"SGP",2020-09-29,0.000240028754648235,0.000366546464604712,0.000249635477597827,1.62
"SGP",2020-09-30,0.00041452366799711,0.000503445991746838,0.000328951078397963,1.62
"SGP",2020-10-01,0.000660555190892666,0.000647667699544215,0.000401636176648659,1.62
"SGP",2020-10-02,0.000997764711320392,0.000883788547440039,0.000546579027012313,1.62
"SGP",2020-10-03,0.00145319298449003,0.00126062066034055,0.00080519238717091,1.62
"SGP",2020-10-04,0.00206387130969965,0.00155770547272007,0.00094702714751045,1.62
"SGP",2020-10-05,0.00288545500729404,0.00193241619833222,0.00111083250073784,1.62
"SGP",2020-10-06,0.00399093214300095,0.00237585825768259,0.00127038112197568,1.62
"SGP",2020-10-07,0.00545711770728021,0.00293414436550521,0.00146795880122595,1.62
"SGP",2020-10-08,0.00735955560865528,0.0034892023176532,0.00158676441627813,1.62
"SGP",2020-10-09,0.00977853190917712,0.00413784017342267,0.00171886387290084,1.62
"SGP",2020-10-10,0.012802538584086,0.00485391156839947,0.0018299048934906,1.62
"SGP",2020-10-11,0.0165249640309577,0.00567770686312851,0.00195528141625679,1.62
"SGP",2020-10-12,0.0210430067283999,0.00664463505388673,0.00212659235644459,1.62
"SGP",2020-10-13,0.0264606615762753,0.00772630695584124,0.00230865210796577,1.62
"SGP",2020-10-14,0.0328957779560952,0.00987947133931423,0.00344435495949439,1.62
"SGP",2020-10-15,0.0404905276489223,0.0119296400114046,0.00433489031857743,1.62
"SGP",2020-10-16,0.0494666735638056,0.014234200907199,0.00525805499231578,1.62
"SGP",2020-10-17,0.0601732336511855,0.0168714172360245,0.00616485714864459,1.62
"SGP",2020-10-18,0.0730466500244134,0.019944872976678,0.00707145660345008,1.62
"SGP",2020-10-19,0.0885539612940157,0.0237584738469333,0.00825116257733096,1.62
"SGP",2020-10-20,0.107177305219315,0.0283639122511424,0.00974056832584288,1.62
"SGP",2020-10-21,0.129448052278247,0.0342442077984023,0.0119734607394709,1.62
"SGP",2020-10-22,0.156008524284656,0.0406492920595751,0.0140888200531653,1.62
"SGP",2020-10-23,0.187680451728896,0.0481970171060895,0.0165250896618494,1.62
"SGP",2020-10-24,0.225486090941439,0.0563893092391671,0.018583670026625,1.62
"SGP",2020-10-25,0.270609278468932,0.0659149415535321,0.0207917540260388,1.62
"SGP",2020-10-26,0.324342930704214,0.0769457525392299,0.0232121003039472,1.62
"SGP",2020-10-27,0.388062040233382,0.0895198772037419,0.0258007676745746,1.62
"SGP",2020-10-28,0.463263161762095,0.107274499103366,0.032073377574653,1.62
"SGP",2020-10-29,0.551645753686086,0.12615237216572,0.0377697802417284,1.62
"SGP",2020-10-30,0.655356876697172,0.146682753617194,0.0429716306061081,1.62
"SGP",2020-10-31,0.777198298830972,0.17036001933952,0.0485185972057197,1.62
"SGP",2020-11-01,0.920458243774856,0.191250131740832,0.0479901867969477,1.62
"SGP",2020-11-02,1.08864085279356,0.220236677712347,0.052054068693646,1.62
"SGP",2020-11-03,1.28509501005326,0.253751557106105,0.0572973998464012,1.62
"SGP",2020-11-04,1.51297879859188,0.293442419701374,0.0655586311627556,1.62
"SGP",2020-11-05,1.77590525226054,0.335730055270941,0.0728036016022851,1.62
"SGP",2020-11-06,2.07855022310574,0.383443339502846,0.0807983686576372,1.62
"SGP",2020-11-07,2.42670017799356,0.434915174351743,0.0867652194639272,1.62
"SGP",2020-11-08,2.82687948599673,0.493552618028849,0.0933733100256753,1.62
"SGP",2020-11-09,3.28600592248922,0.558614142339766,0.0994877058472803,1.62
"SGP",2020-11-10,3.81131469820254,0.631737565455741,0.106428789742417,1.62
"SGP",2020-11-11,4.41056978362793,0.72080497998173,0.121549894556341,1.62
"SGP",2020-11-12,5.09237030183278,0.811844728664733,0.13004421045989,1.62
"SGP",2020-11-13,5.86678365646512,0.912378168172041,0.137964813539695,1.62
"SGP",2020-11-14,6.74555098492626,1.02428811193073,0.145520783469592,1.62
"SGP",2020-11-15,7.74139254517993,1.14667802223587,0.150836461982196,1.62
"SGP",2020-11-16,8.86758566935005,1.28275262154572,0.156559497375601,1.62
"SGP",2020-11-17,10.1380969521635,1.43228806977201,0.161776786958525,1.62
"SGP",2020-11-18,11.5679317859311,1.60006397024839,0.170229136480824,1.62
"SGP",2020-11-19,13.1735197856854,1.77922210347319,0.173634103718901,1.62
"SGP",2020-11-20,14.9731019305947,1.97672323802734,0.177141093118056,1.62
"SGP",2020-11-21,16.9867806152217,2.19285961201658,0.179180927389546,1.62
"SGP",2020-11-22,19.2362181580451,2.43034151229271,0.180903969469342,1.62
"SGP",2020-11-23,21.7446248555371,2.68802409366863,0.17961739617657,1.62
"SGP",2020-11-24,24.5370555682913,2.97563737822797,0.183206665473801,1.62
"SGP",2020-11-25,27.6406942599784,3.30146659074127,0.197827899054207,1.62
