"group","date","cum_I","Incidence","imported","Rt"
"SVN",2020-09-09,0,0,0,2.63
"SVN",2020-09-10,0,0,0,2.63
"SVN",2020-09-11,0,0,0,2.63
"SVN",2020-09-12,0,0,0,2.63
"SVN",2020-09-13,0,0,0,2.63
"SVN",2020-09-14,0,0,0,2.63
"SVN",2020-09-15,0,0,0,2.63
"SVN",2020-09-16,0,0,0,2.63
"SVN",2020-09-17,0,0,0,2.63
"SVN",2020-09-18,0,0,0,2.63
"SVN",2020-09-19,0,0,0,2.63
"SVN",2020-09-20,0,0,0,2.63
"SVN",2020-09-21,0,0,0,2.63
"SVN",2020-09-22,0,0,0,2.63
"SVN",2020-09-23,0,1.12533215869136e-05,1.12533215869136e-05,2.63
"SVN",2020-09-24,8.58106038537733e-08,2.29943581200708e-05,2.29085475162171e-05,2.63
"SVN",2020-09-25,1.51819447812693e-06,3.45852526241468e-05,3.31528687498737e-05,2.63
"SVN",2020-09-26,8.02187744655775e-06,4.93175181258764e-05,4.28138351574455e-05,2.63
"SVN",2020-09-27,2.53040745379981e-05,6.69555388521206e-05,4.96733417606803e-05,2.63
"SVN",2020-09-28,5.97529975580233e-05,9.62370522154419e-05,6.17881291954167e-05,2.63
"SVN",2020-09-29,0.00011785486211986,0.00013194881982786,7.38469552660229e-05,2.63
"SVN",2020-09-30,0.000207064120621977,0.00018651928752892,9.73100290268031e-05,2.63
"SVN",2020-10-01,0.000337395109854137,0.000213609816488999,8.32788272568394e-05,2.63
"SVN",2020-10-02,0.000522776061110974,0.000298713521924613,0.000113332570667777,2.63
"SVN",2020-10-03,0.000778877993761826,0.000423057704113607,0.000166955771462755,2.63
"SVN",2020-10-04,0.00112305420873293,0.000540541270736615,0.00019636505576551,2.63
"SVN",2020-10-05,0.00158228430875842,0.000689560018789639,0.00023032991876415,2.63
"SVN",2020-10-06,0.00219623588475465,0.000877363728980422,0.000263412152984191,2.63
"SVN",2020-10-07,0.0030126852904228,0.00112082907696055,0.000304379671292395,2.63
"SVN",2020-10-08,0.00408554575423665,0.00140187435101684,0.000329013887203,2.63
"SVN",2020-10-09,0.00547845275055086,0.00174931156311336,0.000356404566799146,2.63
"SVN",2020-10-10,0.007268688618421,0.00216966467030782,0.000379428802437678,2.63
"SVN",2020-10-11,0.00954893541119542,0.00268567228173728,0.000405425488962864,2.63
"SVN",2020-10-12,0.0124298203853791,0.00332183160149157,0.000440946627307894,2.63
"SVN",2020-10-13,0.0160443906211283,0.00409326675581797,0.000478696520068722,2.63
"SVN",2020-10-14,0.0205548600047296,0.00522465266279797,0.000714183279196717,2.63
"SVN",2020-10-15,0.0261615513644405,0.00650552618338259,0.000898834823671654,2.63
"SVN",2020-10-16,0.0331281811861369,0.00805688184298053,0.00109025202128412,2.63
"SVN",2020-10-17,0.0418063566540953,0.00995645193654994,0.00127827646859156,2.63
"SVN",2020-10-18,0.0526334150597567,0.0122933172916186,0.00146625888595716,2.63
"SVN",2020-10-19,0.0661290987141569,0.0152065532993593,0.00171086964495915,2.63
"SVN",2020-10-20,0.0829107310841105,0.0188013286875513,0.00201969631759768,2.63
"SVN",2020-10-21,0.103728051835623,0.0233000048984171,0.00248268414690446,2.63
"SVN",2020-10-22,0.129509449268129,0.0287026990474411,0.00292130161493549,2.63
"SVN",2020-10-23,0.161414606754372,0.0353316169721297,0.00342645948588639,2.63
"SVN",2020-10-24,0.200879299382303,0.0433179965281398,0.00385330390020925,2.63
"SVN",2020-10-25,0.24965166085414,0.0530835092034713,0.0043111477316344,2.63
"SVN",2020-10-26,0.30983737723518,0.0649987202981942,0.00481300391715425,2.63
"SVN",2020-10-27,0.383966964587301,0.0794793486514984,0.00534976129937701,2.63
"SVN",2020-10-28,0.47509890860511,0.0977823242023598,0.00665038018455062,2.63
"SVN",2020-10-29,0.58695256610935,0.119685180626798,0.0078315231225578,2.63
"SVN",2020-10-30,0.724117152493037,0.146074707558656,0.00891012117496895,2.63
"SVN",2020-10-31,0.892277125935923,0.178220252148741,0.0100602787058545,2.63
"SVN",2020-11-01,1.09835060801254,0.207923091455052,0.00184960937843865,2.63
"SVN",2020-11-02,1.35058240800615,0.254238037103064,0.00200623710945382,2.63
"SVN",2020-11-03,1.65799646606215,0.309622380531692,0.00220832247568566,2.63
"SVN",2020-11-04,2.03054931933947,0.375079575241319,0.00252672196399839,2.63
"SVN",2020-11-05,2.4808500712881,0.453106705275657,0.00280595332703023,2.63
"SVN",2020-11-06,3.02528689143454,0.547550903053931,0.00311408290749171,2.63
"SVN",2020-11-07,3.68412570590741,0.662182868212894,0.00334405374002367,2.63
"SVN",2020-11-08,4.48159642873529,0.801069461683594,0.00359873885571816,2.63
"SVN",2020-11-09,5.44661502108725,0.968852988632873,0.00383439628091173,2.63
"SVN",2020-11-10,6.61402894409355,1.1715158384349,0.00410191542859278,2.63
"SVN",2020-11-11,8.02606105484615,1.41671681485411,0.00468470410150469,2.63
"SVN",2020-11-12,9.73384977472385,1.71280080687573,0.0050120869980352,2.63
"SVN",2020-11-13,11.7992436848861,2.07071126835668,0.00531735819444214,2.63
"SVN",2020-11-14,14.2969850983641,2.50334998939375,0.00560857591577901,2.63
"SVN",2020-11-15,17.3173572613519,3.02618561263896,0.00581344965113823,2.63
"SVN",2020-11-16,20.9694296453904,3.65810640753283,0.00603402349431928,2.63
"SVN",2020-11-17,25.3850064727678,4.42181193255918,0.00623510518177836,2.63
"SVN",2020-11-18,30.7233654965222,5.34491989438931,0.00656087063487885,2.63
"SVN",2020-11-19,37.1770051405057,6.46033174685055,0.00669210286707396,2.63
"SVN",2020-11-20,44.9785791377611,7.80840126443239,0.00682726717702354,2.63
"SVN",2020-11-21,54.409259260967,9.43758600846825,0.00690588526232028,2.63
"SVN",2020-11-22,65.8088245955416,11.406537628305,0.00697229373044565,2.63
"SVN",2020-11-23,79.5878787796264,13.7859768914688,0.00692270738400303,2.63
"SVN",2020-11-24,96.2426329249685,16.6618151882192,0.00706104287709019,2.63
"SVN",2020-11-25,116.372763803852,20.1377554446922,0.00762456580874881,2.63
"SVN",2020-11-26,140.703005981759,24.3379615019183,0.00771932401117019,2.63
"SVN",2020-11-27,170.109289933568,29.4142823279058,0.00799837609654347,2.63
"SVN",2020-11-28,205.650262885186,35.5490645913442,0.00809163972680137,2.63
"SVN",2020-11-29,248.605309936979,42.9632796686469,0.00823261685350659,2.63
