"group","date","cum_I","Incidence","imported","Rt"
"SWE",2020-09-09,0,0,0,1.05
"SWE",2020-09-10,0,0,0,1.05
"SWE",2020-09-11,0,0,0,1.05
"SWE",2020-09-12,0,0,0,1.05
"SWE",2020-09-13,0,0,0,1.05
"SWE",2020-09-14,0,0,0,1.05
"SWE",2020-09-15,0,0,0,1.05
"SWE",2020-09-16,0,0,0,1.05
"SWE",2020-09-17,0,0,0,1.05
"SWE",2020-09-18,0,0,0,1.05
"SWE",2020-09-19,0,0,0,1.05
"SWE",2020-09-20,0,0,0,1.05
"SWE",2020-09-21,0,0,0,1.05
"SWE",2020-09-22,0,0,0,1.05
"SWE",2020-09-23,0,0.000337413080377105,0.000337413080377105,1.05
"SWE",2020-09-24,1.02720161498453e-06,0.000687903829525519,0.000686876627910535,1.05
"SWE",2020-09-25,1.81689436654828e-05,0.00101117816781487,0.000994036425764376,1.05
"SWE",2020-09-26,9.58742234781357e-05,0.00136141053000566,0.001283705250193,1.05
"SWE",2020-09-27,0.000301042640390529,0.00169454514241061,0.00148937672549821,1.05
"SWE",2020-09-28,0.000703566671097222,0.00225514352989599,0.0018526194991893,1.05
"SWE",2020-09-29,0.00136253016454903,0.00287314785318385,0.00221418435973203,1.05
"SWE",2020-09-30,0.00232957826197646,0.00388473567899455,0.00291768758156712,1.05
"SWE",2020-10-01,0.00366368814443625,0.00589837476460793,0.00456426488214813,1.05
"SWE",2020-10-02,0.00545186215388673,0.00799959519946275,0.00621142119001228,1.05
"SWE",2020-10-03,0.0078558091520959,0.0115542963686348,0.00915034937042562,1.05
"SWE",2020-10-04,0.0111462910630563,0.0140526667019088,0.0107621847909484,1.05
