"group","date","cum_I","Incidence","imported","Rt"
"ZAF",2020-09-09,0,0,0,1.05
"ZAF",2020-09-10,0,0,0,1.05
"ZAF",2020-09-11,0,0,0,1.05
"ZAF",2020-09-12,0,0,0,1.05
"ZAF",2020-09-13,0,0,0,1.05
"ZAF",2020-09-14,0,0,0,1.05
"ZAF",2020-09-15,0,0,0,1.05
"ZAF",2020-09-16,0,0,0,1.05
"ZAF",2020-09-17,0,0,0,1.05
"ZAF",2020-09-18,0,0,0,1.05
"ZAF",2020-09-19,0,0,0,1.05
"ZAF",2020-09-20,0,0,0,1.05
"ZAF",2020-09-21,0,0,0,1.05
"ZAF",2020-09-22,0,0,0,1.05
"ZAF",2020-09-23,0,1.55695961397148e-05,1.55695961397148e-05,1.05
"ZAF",2020-09-24,4.73992125068106e-08,3.17426484969263e-05,3.16952492844195e-05,1.05
"ZAF",2020-09-25,8.38388111215598e-07,4.66598262301472e-05,4.58688373314384e-05,1.05
"ZAF",2020-09-26,4.4240221454812e-06,6.28209555742567e-05,5.9235321539991e-05,1.05
"ZAF",2020-09-27,1.38913178068718e-05,7.81931259996256e-05,6.8725830338235e-05,1.05
"ZAF",2020-09-28,3.24653949814408e-05,0.00010406138955351,8.54873123789406e-05,1.05
"ZAF",2020-09-29,6.28726200137176e-05,0.000132578593793001,0.000102171368760724,1.05
"ZAF",2020-09-30,0.00010749610736577,0.000179257323290156,0.000134633835938104,1.05
"ZAF",2020-10-01,0.000169057301296623,0.00136441762850089,0.00130285643457004,1.05
"ZAF",2020-10-02,0.000254896003207364,0.00185887122175509,0.00177303251984435,1.05
"ZAF",2020-10-03,0.000419069538491788,0.00277611474896178,0.00261194121367735,1.05
"ZAF",2020-10-04,0.000786437892387153,0.00343940340597144,0.00307203505207608,1.05
"ZAF",2020-10-05,0.0015144908656096,0.00433145165954606,0.00360339868632362,1.05
"ZAF",2020-10-06,0.00275144072333097,0.00535790388365857,0.00412095402593721,1.05
"ZAF",2020-10-07,0.00461483690010202,0.00662526694702788,0.00476187077025682,1.05
"ZAF",2020-10-08,0.00720154971653065,0.00773397382051685,0.00514726100408823,1.05
"ZAF",2020-10-09,0.0106100318689865,0.00898425691369657,0.00557577476124077,1.05
"ZAF",2020-10-10,0.0149453519340262,0.010271297707863,0.00593597764282319,1.05
"ZAF",2020-10-11,0.0203067367956063,0.0117040679232054,0.00634268306162527,1.05
"ZAF",2020-10-12,0.0267816244142013,0.0133732814794771,0.00689839386088216,1.05
"ZAF",2020-10-13,0.034450475037764,0.0151578230541465,0.0074889724305838,1.05
"ZAF",2020-10-14,0.0434010931406105,0.0201236654596986,0.0111730473568521,1.05
"ZAF",2020-10-15,0.0537498612691728,0.0244105983945507,0.0140618302659884,1.05
"ZAF",2020-10-16,0.0657562290622676,0.0290628262954731,0.0170564585023783,1.05
"ZAF",2020-10-17,0.0799190223517569,0.0341608021126407,0.0199980088231515,1.05
"ZAF",2020-10-18,0.0968853905652728,0.0399052698196009,0.0229389016060849,1.05
"ZAF",2020-10-19,0.117314371782733,0.0471946982558512,0.0267657170383908,1.05
"ZAF",2020-10-20,0.141820867563349,0.0561036547456925,0.0315971589650772,1.05
"ZAF",2020-10-21,0.171025880233438,0.068045389298158,0.0388403766280685,1.05
"ZAF",2020-10-22,0.205673806537878,0.0803502582381061,0.0457023319336666,1.05
"ZAF",2020-10-23,0.246770354908061,0.0947018275993523,0.0536052792291693,1.05
"ZAF",2020-10-24,0.295617312662274,0.109130008634101,0.060283050879888,1.05
"ZAF",2020-10-25,0.353707907355973,0.125536387910973,0.0674457932172745,1.05
"ZAF",2020-10-26,0.422578630960276,0.144167810866783,0.0752970872624798,1.05
"ZAF",2020-10-27,0.503707389111963,0.164823151575493,0.0836943934238062,1.05
"ZAF",2020-10-28,0.598555971674261,0.198890520965883,0.104041938403585,1.05
"ZAF",2020-10-29,0.708711680152531,0.232676049227551,0.122520340749281,1.05
"ZAF",2020-10-30,0.836379559070433,0.267062357538561,0.139394478620659,1.05
"ZAF",2020-10-31,0.98479000364317,0.305798574031704,0.157388129458967,1.05
"ZAF",2020-11-01,1.15779236201114,0.344040691715081,0.171038333347107,1.05
"ZAF",2020-11-02,1.35923752315774,0.38696728030333,0.18552211915673,1.05
"ZAF",2020-11-03,1.59261801079551,0.437589981889505,0.204209494251741,1.05
"ZAF",2020-11-04,1.86101601456333,0.502050751527258,0.233652747759437,1.05
"ZAF",2020-11-05,2.16753159020094,0.565989595449375,0.259474019811768,1.05
"ZAF",2020-11-06,2.51611176155594,0.636547758787825,0.28796758743282,1.05
"ZAF",2020-11-07,2.91190166012426,0.705023504855304,0.309233606286983,1.05
"ZAF",2020-11-08,3.36073537001365,0.781618730991029,0.332785021101647,1.05
"ZAF",2020-11-09,3.86833602332146,0.862177547718408,0.354576894410596,1.05
"ZAF",2020-11-10,4.43984207963301,0.950821162850181,0.379315106538624,1.05
"ZAF",2020-11-11,5.07997055482452,1.07333561129616,0.433207136104656,1.05
"ZAF",2020-11-12,5.79353005469662,1.17704060930413,0.463481109432038,1.05
"ZAF",2020-11-13,6.58679262431745,1.28497292424431,0.491710354623471,1.05
"ZAF",2020-11-14,7.46786895576343,1.39971636877935,0.518640037333368,1.05
"ZAF",2020-11-15,8.44489940985591,1.51461571448263,0.53758526039015,1.05
"ZAF",2020-11-16,9.52473979021763,1.63782269483121,0.557982314469482,1.05
"ZAF",2020-11-17,10.7128678171472,1.7647049036296,0.576576876700053,1.05
"ZAF",2020-11-18,12.0138793638378,1.90771282739184,0.606701280701188,1.05
"ZAF",2020-11-19,13.4321601087282,2.03711742160425,0.618836676713842,1.05
"ZAF",2020-11-20,14.9726058003861,2.17178137414628,0.631335682488404,1.05
"ZAF",2020-11-21,16.6404977715794,2.30649767860525,0.638605707411961,1.05
"ZAF",2020-11-22,18.4404466470329,2.44469555178609,0.644746676332592,1.05
"ZAF",2020-11-23,20.3759018560382,2.57561650306678,0.64016129406151,1.05
"ZAF",2020-11-24,22.4493427861142,2.72639447771073,0.652953547634722,1.05
"ZAF",2020-11-25,24.6624745374538,2.91819577384395,0.705064022504356,1.05
"ZAF",2020-11-26,27.0169766132773,3.06832864311274,0.713826567289246,1.05
"ZAF",2020-11-27,29.5169667024323,3.23962135021138,0.7396312610563,1.05
"ZAF",2020-11-28,32.1693041778387,3.40059307415639,0.748255598750066,1.05
"ZAF",2020-11-29,34.9809772234044,3.57296517682524,0.761292131259476,1.05
"ZAF",2020-11-30,37.9574898769508,3.7629463106859,0.786433657139564,1.05
"ZAF",2020-12-01,41.1027750106561,4.12848341664496,0.983198282939582,1.05
"ZAF",2020-12-02,44.4211710473361,4.38838179808647,1.06998576140651,1.05
"ZAF",2020-12-03,47.925100155273,4.65411705578491,1.15018794784803,1.05
"ZAF",2020-12-04,51.6384053998987,4.94430721772282,1.23100197309712,1.05
"ZAF",2020-12-05,55.5875024935024,5.27717585805331,1.32807876444959,1.05
"ZAF",2020-12-06,59.7940806261555,5.61232912823256,1.40575099557945,1.05
"ZAF",2020-12-07,64.275780132577,5.95333042821187,1.47163092179035,1.05
"ZAF",2020-12-08,69.0494956147819,6.3596244726348,1.58590899042996,1.05
"ZAF",2020-12-09,74.1322101792098,6.8559859413725,1.77327137694455,1.05
"ZAF",2020-12-10,79.5423644713333,7.32754378109876,1.91738948897529,1.05
"ZAF",2020-12-11,85.3046719099895,7.83779415518348,2.07548671652725,1.05
"ZAF",2020-12-12,91.4515203741374,8.33986675186203,2.19301828771412,1.05
"ZAF",2020-12-13,98.0182894404034,8.9190174228993,2.35224835663332,1.05
"ZAF",2020-12-14,105.038321389784,9.51037895066402,2.49034700128391,1.05
"ZAF",2020-12-15,112.542025318927,10.2012733805252,2.69756945138218,1.05
"ZAF",2020-12-16,120.559622147633,11.111894449014,3.0942976203073,1.05
"ZAF",2020-12-17,129.125403786345,11.9251866800417,3.35940504132964,1.05
"ZAF",2020-12-18,138.287562742497,12.7537267087657,3.59156775261368,1.05
"ZAF",2020-12-19,148.10990467332,13.775863586584,3.95352165576148,1.05
"ZAF",2020-12-20,158.658508433427,14.8121850105636,4.26358125045639,1.05
"ZAF",2020-12-21,169.996086628641,15.9826014194347,4.64502322422126,1.05
"ZAF",2020-12-22,182.186990187129,17.2708026212057,5.07989906271732,1.05
"ZAF",2020-12-23,195.301403585173,18.6522418497431,5.53782845169875,1.05
"ZAF",2020-12-24,209.418901298849,19.9238355566843,5.80633784300832,1.05
"ZAF",2020-12-25,224.628787243853,21.3069928717181,6.09710692671389,1.05
"ZAF",2020-12-26,241.019621751724,22.7440982015567,6.35326369368639,1.05
"ZAF",2020-12-27,258.666842189268,24.4302062968485,6.78298585930466,1.05
"ZAF",2020-12-28,277.633525817544,26.3405837070468,7.3739000787704,1.05
"ZAF",2020-12-29,297.984702754762,28.2879774969833,7.93680055976565,1.05
"ZAF",2020-12-30,319.807447743112,30.4283063453542,8.60556135700366,1.05
"ZAF",2020-12-31,343.216487082746,32.433862974025,9.02482363439133,1.05
"ZAF",2021-01-01,368.344345502845,30.8848317138252,5.7569732937264,1.05
"ZAF",2021-01-02,395.311303540203,33.0609913348189,6.09403329746077,1.05
"ZAF",2021-01-03,424.076711959323,35.1615103324289,6.39610191330862,1.05
"ZAF",2021-01-04,454.415394385561,37.0806926956136,6.74201026937561,1.05
"ZAF",2021-01-05,486.15149090086,38.8092544022113,7.0731578869126,1.05
"ZAF",2021-01-06,519.285418372953,40.4570518218077,7.32312434971441,1.05
"ZAF",2021-01-07,553.935074927688,42.3553682143992,7.70571165966458,1.05
"ZAF",2021-01-08,590.230444951937,44.3532080045259,8.05783798027664,1.05
"ZAF",2021-01-09,628.266464609069,46.3733159863326,8.33729632920057,1.05
"ZAF",2021-01-10,668.114587167501,48.3913839113137,8.54326135288183,1.05
